County,Year,Population,Index Count,Violent Count,Property Count,Firearm Count
Albany,2017,310352,8777,1161,7616,145
Allegany,2017,46878,507,79,428,6
Bronx,2017,1470074,35507,12534,22973,1270
Broome,2017,194923,5568,694,4874,72
Cattaraugus,2017,75611,1158,131,1027,19
Cayuga,2017,77712,1341,237,1104,21
Chautauqua,2017,128942,2786,346,2440,43
Chemung,2017,86084,1567,143,1424,24
Chenango,2017,48397,685,81,604,3
Clinton,2017,81093,1214,136,1078,4
Columbia,2017,60796,970,135,835,19
Cortland,2017,47986,994,49,945,1
Delaware,2017,44468,520,59,461,4
Dutchess,2017,294598,3834,568,3266,73
Erie,2017,923447,23371,3463,19908,930
Essex,2017,36491,419,63,356,6
Franklin,2017,50324,688,100,588,10
Fulton,2017,53556,1087,118,969,9
Genesee,2017,58252,1142,168,974,8
Greene,2017,47352,632,137,495,5
Hamilton,2017,4505,36,4,32,0
Herkimer,2017,62458,1125,155,970,8
Jefferson,2017,113858,2253,235,2018,22
Kings,2017,2646816,49766,14593,35173,1753
Lewis,2017,26893,257,35,222,3
Livingston,2017,64242,809,56,753,3
Madison,2017,71146,983,104,879,8
Monroe,2017,749892,18945,2570,16375,731
Montgomery,2017,49222,938,78,860,5
Nassau,2017,1367901,14016,1650,12366,206
New York,2017,1663498,47146,8671,38475,639
Niagara,2017,211460,5455,766,4689,166
Oneida,2017,231112,4773,694,4079,94
Onondaga,2017,467033,10893,1429,9464,228
Ontario,2017,110349,1622,135,1487,7
Orange,2017,381037,6739,874,5865,120
Orleans,2017,41194,763,86,677,15
Oswego,2017,118741,1980,218,1762,15
Otsego,2017,59891,732,93,639,6
Putnam,2017,98971,628,54,574,2
Queens,2017,2356841,32860,9184,23676,932
Rensselaer,2017,160555,3513,447,3066,90
Richmond,2017,479104,5969,1451,4518,153
Rockland,2017,329966,3404,397,3007,27
Saratoga,2017,228753,2795,279,2516,27
Schenectady,2017,154847,4592,671,3921,100
Schoharie,2017,31166,314,37,277,1
Schuyler,2017,18106,70,15,55,1
Seneca,2017,34779,568,73,495,1
Steuben,2017,96823,1263,171,1092,12
St Lawrence,2017,109995,1512,134,1378,12
Suffolk,2017,1495619,20543,1693,18850,364
Sullivan,2017,74545,1280,221,1059,10
Tioga,2017,48507,456,48,408,3
Tompkins,2017,105637,1949,139,1810,16
Ulster,2017,179106,2550,288,2262,30
Warren,2017,64530,1079,107,972,4
Washington,2017,61690,503,77,426,1
Wayne,2017,90519,1487,186,1301,8
Westchester,2017,980819,11572,1948,9624,291
Wyoming,2017,40666,346,71,275,5
Yates,2017,24910,259,26,233,2
Albany,2016,308401,8767,1099,7668,126
Allegany,2016,46858,571,81,490,5
Bronx,2016,1458255,36834,13817,23017,0
Broome,2016,194518,5422,641,4781,57
Cattaraugus,2016,75126,1232,138,1094,12
Cayuga,2016,77462,1427,184,1243,14
Chautauqua,2016,129139,3327,356,2971,57
Chemung,2016,86124,2064,172,1892,23
Chenango,2016,48229,966,99,867,4
Clinton,2016,80553,1395,135,1260,7
Columbia,2016,60806,834,100,734,12
Cortland,2016,48022,820,43,777,2
Delaware,2016,44601,671,98,573,4
Dutchess,2016,293404,4116,566,3550,70
Erie,2016,917172,25817,3792,22025,1154
Essex,2016,36615,395,57,338,4
Franklin,2016,50135,706,108,598,7
Fulton,2016,53221,1181,149,1032,10
Genesee,2016,58209,1263,127,1136,9
Greene,2016,47019,546,104,442,5
Hamilton,2016,4657,54,5,49,0
Herkimer,2016,62419,1062,121,941,5
Jefferson,2016,117080,2379,281,2098,24
Kings,2016,2641827,50802,15523,35279,0
Lewis,2016,26758,236,30,206,3
Livingston,2016,64186,886,91,795,8
Madison,2016,71064,1027,122,905,5
Monroe,2016,745585,18762,2481,16281,786
Montgomery,2016,49187,1023,83,940,8
Nassau,2016,1356246,15275,1826,13449,314
New York,2016,1647694,46653,8839,37814,0
Niagara,2016,210491,6142,848,5294,162
Oneida,2016,230500,5233,661,4572,111
Onondaga,2016,465564,11116,1415,9701,303
Ontario,2016,109105,1866,164,1702,12
Orange,2016,375993,7313,904,6409,179
Orleans,2016,41061,749,78,671,9
Oswego,2016,118961,2313,265,2048,15
Otsego,2016,59929,779,90,689,7
Putnam,2016,98238,603,37,566,2
Queens,2016,2343667,33800,9356,24444,0
Rensselaer,2016,159384,3658,472,3186,87
Richmond,2016,475474,6313,1589,4724,0
Rockland,2016,326643,3561,384,3177,30
Saratoga,2016,225997,2843,256,2587,13
Schenectady,2016,153524,4682,697,3985,104
Schoharie,2016,30860,385,36,349,2
Schuyler,2016,18042,118,13,105,3
Seneca,2016,34522,643,67,576,5
Steuben,2016,96718,1523,188,1335,8
St Lawrence,2016,110113,1739,173,1566,14
Suffolk,2016,1492991,23090,1896,21194,426
Sullivan,2016,73885,1229,198,1031,22
Tioga,2016,48810,463,63,400,6
Tompkins,2016,104871,1954,158,1796,15
Ulster,2016,178502,2641,295,2346,22
Warren,2016,64064,1201,112,1089,2
Washington,2016,61610,583,95,488,3
Wayne,2016,90389,1618,159,1459,8
Westchester,2016,975138,12537,2113,10424,329
Wyoming,2016,40531,327,48,279,1
Yates,2016,24823,320,17,303,2
Albany,2015,308613,8641,1041,7600,114
Allegany,2015,47336,579,57,522,1
Bronx,2015,1448285,36299,13409,22890,0
Broome,2015,196201,6459,623,5836,71
Cattaraugus,2015,76211,1280,125,1155,6
Cayuga,2015,78420,1553,196,1357,8
Chautauqua,2015,131108,3309,354,2955,40
Chemung,2015,87307,1903,159,1744,21
Chenango,2015,49105,849,101,748,6
Clinton,2015,81364,1251,115,1136,6
Columbia,2015,61779,895,103,792,4
Cortland,2015,48870,751,51,700,3
Delaware,2015,45371,741,80,661,8
Dutchess,2015,295721,4518,558,3960,69
Erie,2015,922022,26091,3788,22303,1022
Essex,2015,36992,382,46,336,3
Franklin,2015,51082,841,88,753,3
Fulton,2015,53542,1309,123,1186,10
Genesee,2015,58705,1199,115,1084,4
Greene,2015,47590,605,117,488,3
Hamilton,2015,4678,43,3,40,0
Herkimer,2015,63446,1020,98,922,4
Jefferson,2015,119514,2543,221,2322,17
Kings,2015,2640252,53957,16385,37572,0
Lewis,2015,27205,282,27,255,4
Livingston,2015,64291,885,77,808,6
Madison,2015,71972,1010,106,904,6
Monroe,2015,749690,20531,2526,18005,727
Montgomery,2015,49555,1264,99,1165,9
Nassau,2015,1360265,16358,1984,14374,368
New York,2015,1647788,47307,2789,35518,0
Niagara,2015,212368,5920,779,5141,145
Oneida,2015,231920,5456,585,4871,110
Onondaga,2015,467471,11574,1500,10074,277
Ontario,2015,109863,1835,144,1691,9
Orange,2015,376037,7244,918,6326,165
Orleans,2015,41689,673,69,604,10
Oswego,2015,120368,2374,251,2123,9
Otsego,2015,60737,841,78,763,4
Putnam,2015,99220,589,43,546,0
Queens,2015,2337925,35920,9854,26066,0
Rensselaer,2015,159567,4200,547,3653,104
Richmond,2015,476611,6465,1651,4814,0
Rockland,2015,326136,3764,483,3281,34
Saratoga,2015,225720,2851,259,2592,9
Schenectady,2015,155634,4623,668,3955,126
Schoharie,2015,31235,402,38,364,5
Schuyler,2015,18488,149,14,135,0
Seneca,2015,34726,730,62,668,4
Steuben,2015,98066,1585,189,1396,13
St Lawrence,2015,111077,1671,143,1528,7
Suffolk,2015,1502075,24496,2010,22486,474
Sullivan,2015,75425,1331,171,1160,15
Tioga,2015,49485,460,54,406,4
Tompkins,2015,105240,2296,147,2149,11
Ulster,2015,179613,3011,304,2707,23
Warren,2015,64672,1090,108,982,6
Washington,2015,62016,613,91,522,3
Wayne,2015,91455,1642,203,1439,15
Westchester,2015,976316,12235,2146,10089,306
Wyoming,2015,40883,422,58,364,5
Yates,2015,25121,299,25,274,1
Albany,2014,308166,9181,1003,8178,147
Allegany,2014,47972,615,68,547,12
Bronx,2014,1440569,36030,12713,23317,0
Broome,2014,197126,6318,496,5822,72
Cattaraugus,2014,76828,1442,133,1309,14
Cayuga,2014,79512,1556,138,1418,14
Chautauqua,2014,132852,3535,296,3239,49
Chemung,2014,88535,2136,151,1985,29
Chenango,2014,49375,909,50,859,8
Clinton,2014,81604,1308,68,1240,5
Columbia,2014,62148,926,47,879,4
Cortland,2014,48983,1081,49,1032,4
Delaware,2014,45709,769,58,711,11
Dutchess,2014,297173,4832,561,4271,106
Erie,2014,921558,28413,3932,24481,1103
Essex,2014,37221,341,44,297,8
Franklin,2014,51796,850,53,797,6
Fulton,2014,54329,1465,63,1402,8
Genesee,2014,59274,1518,112,1406,6
Greene,2014,48364,686,78,608,10
Hamilton,2014,4766,62,1,61,0
Herkimer,2014,64218,1123,110,1013,7
Jefferson,2014,120437,2531,174,2357,13
Kings,2014,2609973,56700,17053,39647,0
Lewis,2014,27211,257,27,230,7
Livingston,2014,64636,896,47,849,4
Madison,2014,72243,1134,61,1073,2
Monroe,2014,752007,21324,2227,19097,711
Montgomery,2014,49874,1251,48,1203,2
Nassau,2014,1357041,17680,2043,15637,437
New York,2014,1635470,47566,8327,39239,0
Niagara,2014,214023,6224,798,5426,183
Oneida,2014,233634,5766,560,5206,155
Onondaga,2014,469355,12957,1493,11464,309
Ontario,2014,109535,2182,130,2052,5
Orange,2014,376716,7853,831,7022,170
Orleans,2014,42149,687,58,629,4
Oswego,2014,121109,2557,159,2398,7
Otsego,2014,61644,837,51,786,7
Putnam,2014,99778,780,51,729,3
Queens,2014,2313385,38030,9800,28230,0
Rensselaer,2014,160303,4259,471,3788,95
Richmond,2014,474541,6865,1551,5314,0
Rockland,2014,323543,3710,370,3340,30
Saratoga,2014,225201,2965,165,2800,12
Schenectady,2014,155678,5092,598,4494,103
Schoharie,2014,31691,380,11,369,0
Schuyler,2014,18529,165,10,155,1
Seneca,2014,35503,721,57,664,2
Steuben,2014,98730,1541,115,1426,5
St Lawrence,2014,112184,1759,97,1662,2
Suffolk,2014,1503376,26121,1765,24356,360
Sullivan,2014,76591,1646,157,1489,23
Tioga,2014,50124,468,27,441,2
Tompkins,2014,104271,2604,103,2501,11
Ulster,2014,180937,3262,293,2969,30
Warren,2014,65353,1209,40,1169,1
Washington,2014,63134,685,60,625,6
Wayne,2014,92302,1603,112,1491,11
Westchester,2014,974944,12106,2149,9957,270
Wyoming,2014,41454,380,36,344,3
Yates,2014,25146,321,18,303,3
Albany,2013,306300,9457,1006,8451,150
Allegany,2013,48220,796,54,742,2
Bronx,2013,1427341,36280,12713,23260,0
Broome,2013,197527,6706,512,6194,53
Cattaraugus,2013,77430,1767,115,1652,20
Cayuga,2013,79520,1517,128,1389,12
Chautauqua,2013,133288,3637,274,3363,40
Chemung,2013,89040,2201,151,2050,18
Chenango,2013,49857,926,48,878,4
Clinton,2013,81595,1666,111,1555,4
Columbia,2013,62398,1127,76,1051,9
Cortland,2013,49599,1064,51,1013,4
Delaware,2013,46322,806,56,750,13
Dutchess,2013,297521,5121,584,4537,112
Erie,2013,920162,29295,4089,25206,1092
Essex,2013,37412,449,43,406,5
Franklin,2013,51936,876,61,815,7
Fulton,2013,54677,1527,62,1465,14
Genesee,2013,59887,1467,109,1358,18
Greene,2013,48582,718,58,660,11
Hamilton,2013,4768,62,4,58,2
Herkimer,2013,64596,1190,126,1064,13
Jefferson,2013,121663,2402,140,2262,15
Kings,2013,2586007,59056,17053,40798,0
Lewis,2013,27307,332,24,308,10
Livingston,2013,64718,1088,56,1032,8
Madison,2013,72132,1156,55,1101,4
Monroe,2013,749775,23076,2686,20390,842
Montgomery,2013,49898,1125,48,1077,1
Nassau,2013,1353478,18684,2111,16573,467
New York,2013,1620452,51872,8327,43164,0
Niagara,2013,214912,6654,798,5856,150
Oneida,2013,233394,5989,537,5452,96
Onondaga,2013,467218,13987,1491,12496,297
Ontario,2013,108796,2094,122,1972,11
Orange,2013,375281,8593,868,7725,165
Orleans,2013,42878,747,59,688,4
Oswego,2013,121698,2678,158,2520,8
Otsego,2013,61617,835,65,770,7
Putnam,2013,99665,772,49,723,3
Queens,2013,2292142,39913,9800,29173,0
Rensselaer,2013,160153,4137,471,3666,90
Richmond,2013,470183,7234,1551,5576,0
Rockland,2013,319900,3806,395,3411,31
Saratoga,2013,223105,3115,173,2942,22
Schenectady,2013,155367,5377,674,4703,116
Schoharie,2013,31944,536,27,509,3
Schuyler,2013,18604,165,14,151,6
Seneca,2013,35375,794,62,732,5
Steuben,2013,99222,1533,123,1410,8
St Lawrence,2013,112480,1965,112,1853,12
Suffolk,2013,1502540,26379,1934,24445,410
Sullivan,2013,76673,1719,172,1547,23
Tioga,2013,50342,650,27,623,0
Tompkins,2013,102977,2902,109,2793,16
Ulster,2013,181804,3580,294,3286,19
Warren,2013,65566,1297,53,1244,1
Washington,2013,62893,882,71,811,10
Wayne,2013,92809,1842,153,1689,20
Westchester,2013,966498,14134,2192,11942,284
Wyoming,2013,41875,510,41,469,6
Yates,2013,25375,413,14,399,0
Albany,2012,305204,9975,1012,8963,137
Allegany,2012,49041,856,65,791,4
Bronx,2012,1404471,35962,12801,23161,0
Broome,2012,200105,6897,604,6293,58
Cattaraugus,2012,78364,2087,149,1938,11
Cayuga,2012,80168,1808,141,1667,8
Chautauqua,2012,135093,3847,308,3539,37
Chemung,2012,89320,2434,222,2212,32
Chenango,2012,50389,1023,58,965,10
Clinton,2012,82387,1685,90,1595,2
Columbia,2012,62888,1425,100,1325,12
Cortland,2012,49629,1105,64,1041,6
Delaware,2012,46974,763,63,700,8
Dutchess,2012,299607,5900,678,5222,105
Erie,2012,922983,31468,4227,27241,1186
Essex,2012,37885,517,43,474,13
Franklin,2012,51829,1042,57,985,4
Fulton,2012,55347,1559,52,1507,9
Genesee,2012,60189,1453,92,1361,6
Greene,2012,49218,721,88,633,5
Hamilton,2012,4819,81,1,80,0
Herkimer,2012,64506,1309,124,1185,7
Jefferson,2012,118546,2917,213,2704,20
Kings,2012,2539714,60690,18673,42017,0
Lewis,2012,27218,420,19,401,3
Livingston,2012,65421,1195,54,1141,7
Madison,2012,73761,1337,59,1278,2
Monroe,2012,749650,25410,2672,22738,789
Montgomery,2012,50185,1185,58,1127,10
Nassau,2012,1351693,19575,2458,17117,450
New York,2012,1608042,51756,9102,42654,0
Niagara,2012,217177,6954,819,6135,144
Oneida,2012,235552,6389,595,5794,90
Onondaga,2012,469480,13645,1752,11893,341
Ontario,2012,109111,2175,150,2025,14
Orange,2012,376895,9499,1077,8422,163
Orleans,2012,42852,920,61,859,6
Oswego,2012,122888,3328,206,3122,20
Otsego,2012,62251,983,78,905,6
Putnam,2012,100472,875,41,834,3
Queens,2012,2261906,40199,10753,29446,0
Rensselaer,2012,160255,4647,447,4200,102
Richmond,2012,475282,7146,1664,5482,0
Rockland,2012,316859,4325,501,3824,57
Saratoga,2012,222074,3241,153,3088,13
Schenectady,2012,155895,5592,691,4901,102
Schoharie,2012,32754,494,19,475,4
Schuyler,2012,18460,185,21,164,6
Seneca,2012,35388,853,59,794,2
Steuben,2012,99568,1837,156,1681,7
St Lawrence,2012,112293,2241,122,2119,14
Suffolk,2012,1506906,28885,2127,26758,437
Sullivan,2012,77315,1931,181,1750,26
Tioga,2012,51319,667,35,632,1
Tompkins,2012,102272,2746,116,2630,14
Ulster,2012,183433,3943,279,3664,32
Warren,2012,66186,1430,125,1305,9
Washington,2012,63506,970,78,892,12
Wayne,2012,93940,1843,132,1711,10
Westchester,2012,961058,15040,2448,12592,340
Wyoming,2012,42170,552,51,501,2
Yates,2012,25591,428,20,408,2
Albany,2011,305571,10726,1164,9562,196
Allegany,2011,49166,895,64,831,4
Bronx,2011,1391333,35130,12267,22863,0
Broome,2011,201502,6643,521,6122,46
Cattaraugus,2011,78771,1925,162,1763,12
Cayuga,2011,80386,1717,182,1535,15
Chautauqua,2011,135511,3687,303,3384,28
Chemung,2011,89229,2278,177,2101,9
Chenango,2011,50704,1072,57,1015,7
Clinton,2011,82497,1690,74,1616,2
Columbia,2011,63380,1234,96,1138,21
Cortland,2011,49558,1104,74,1030,4
Delaware,2011,47349,813,76,737,10
Dutchess,2011,298825,5677,625,5052,91
Erie,2011,923171,31411,4201,27210,1155
Essex,2011,38031,617,47,570,3
Franklin,2011,51831,973,61,912,2
Fulton,2011,55649,1605,61,1544,14
Genesee,2011,60220,1439,112,1327,6
Greene,2011,49442,831,105,726,6
Hamilton,2011,4858,58,1,57,0
Herkimer,2011,64809,1362,141,1221,7
Jefferson,2011,116751,2481,182,2299,22
Kings,2011,2515957,59014,18182,40832,0
Lewis,2011,27209,419,33,386,5
Livingston,2011,65687,1074,44,1030,7
Madison,2011,73772,1284,53,1231,3
Monroe,2011,747689,25666,2661,23005,700
Montgomery,2011,50445,1084,59,1025,4
Nassau,2011,1345553,19374,2226,17148,398
New York,2011,1593000,50858,9021,41837,0
Niagara,2011,217442,7232,810,6422,139
Oneida,2011,235934,5939,551,5388,94
Onondaga,2011,469125,12862,1656,11206,303
Ontario,2011,108416,2103,150,1953,13
Orange,2011,374489,9008,1016,7992,200
Orleans,2011,43076,1003,81,922,5
Oswego,2011,122658,3217,181,3036,17
Otsego,2011,62539,1146,119,1027,18
Putnam,2011,100158,860,66,794,1
Queens,2011,2240748,39863,10311,29552,0
Rensselaer,2011,160146,4687,485,4202,112
Richmond,2011,470837,6801,1428,5373,0
Rockland,2011,313088,4567,554,4013,44
Saratoga,2011,220594,3075,132,2943,8
Schenectady,2011,155422,5529,687,4842,126
Schoharie,2011,32896,433,15,418,3
Schuyler,2011,18425,172,18,154,3
Seneca,2011,35409,681,63,618,3
Steuben,2011,99435,1687,138,1549,9
St Lawrence,2011,112447,2515,143,2372,26
Suffolk,2011,1500062,31406,2217,29189,530
Sullivan,2011,77896,1940,201,1739,24
Tioga,2011,51355,591,34,557,1
Tompkins,2011,102020,2389,90,2299,9
Ulster,2011,183313,3772,335,3437,36
Warren,2011,66002,1494,107,1387,9
Washington,2011,63500,866,96,770,17
Wayne,2011,94193,1709,141,1568,15
Westchester,2011,953379,16283,2557,13726,346
Wyoming,2011,42344,528,37,491,2
Yates,2011,25462,410,13,397,0
Albany,2010,295267,11036,1182,9854,154
Allegany,2010,48531,841,89,752,10
Bronx,2010,1387983,34008,12070,21938,0
Broome,2010,191892,6207,499,5708,64
Cattaraugus,2010,76602,2019,181,1838,10
Cayuga,2010,78400,1765,158,1607,17
Chautauqua,2010,131411,3865,312,3553,41
Chemung,2010,87073,2080,203,1877,32
Chenango,2010,49978,983,54,929,8
Clinton,2010,80874,1830,87,1743,9
Columbia,2010,60786,1213,94,1119,10
Cortland,2010,47401,1066,65,1001,6
Delaware,2010,43997,765,62,703,10
Dutchess,2010,291541,5937,724,5213,118
Erie,2010,895158,32568,4528,28040,1144
Essex,2010,35964,523,37,486,6
Franklin,2010,49634,943,57,886,3
Fulton,2010,54344,1689,123,1566,24
Genesee,2010,56871,1462,107,1355,9
Greene,2010,48478,836,92,744,6
Hamilton,2010,4824,52,4,48,1
Herkimer,2010,61330,1374,169,1205,15
Jefferson,2010,118131,2434,220,2214,31
Kings,2010,2550004,57172,16514,40658,0
Lewis,2010,25785,462,25,437,5
Livingston,2010,62020,1157,47,1110,3
Madison,2010,69222,1295,53,1242,8
Monroe,2010,724942,26186,2823,23363,817
Montgomery,2010,47969,1163,72,1091,4
Nassau,2010,1344303,20320,2344,17976,404
New York,2010,1618207,51297,8829,42468,0
Niagara,2010,211650,7209,835,6374,124
Oneida,2010,228059,6238,587,5651,115
Onondaga,2010,449339,13005,1608,11397,355
Ontario,2010,105010,1995,128,1867,7
Orange,2010,383475,9079,996,8083,152
Orleans,2010,41377,1063,79,984,5
Oswego,2010,119906,3288,189,3099,16
Otsego,2010,60905,1145,126,1019,13
Putnam,2010,98472,934,69,865,7
Queens,2010,2291352,38808,9725,29083,0
Rensselaer,2010,154087,4853,546,4307,93
Richmond,2010,488456,6819,1351,5468,0
Rockland,2010,298092,4766,460,4306,61
Saratoga,2010,219519,3236,151,3085,4
Schenectady,2010,151036,6021,748,5273,145
Schoharie,2010,31169,467,17,450,1
Schuyler,2010,18455,198,11,187,0
Seneca,2010,33740,660,52,608,1
Steuben,2010,95252,1837,164,1673,8
St Lawrence,2010,108273,2482,141,2341,14
Suffolk,2010,1511183,32638,2377,30261,542
Sullivan,2010,75137,1708,219,1489,18
Tioga,2010,49341,600,36,564,6
Tompkins,2010,101158,2505,120,2385,14
Ulster,2010,179764,3839,408,3431,40
Warren,2010,65549,1297,99,1198,4
Washington,2010,62227,884,93,791,12
Wayne,2010,90027,1966,169,1797,14
Westchester,2010,948303,15392,2457,12935,347
Wyoming,2010,40743,476,33,443,6
Yates,2010,24182,474,18,456,1
Albany,2009,298400,10613,1289,9324,191
Allegany,2009,49605,776,129,647,5
Bronx,2009,1398093,33755,11242,22513,0
Broome,2009,194381,6171,458,5713,56
Cattaraugus,2009,77397,1855,184,1671,14
Cayuga,2009,79569,1660,186,1474,20
Chautauqua,2009,133112,3597,256,3341,23
Chemung,2009,87431,2126,161,1965,22
Chenango,2009,50830,997,53,944,7
Clinton,2009,82153,1698,133,1565,4
Columbia,2009,61871,1180,113,1067,17
Cortland,2009,48257,1084,106,978,6
Delaware,2009,45075,754,69,685,7
Dutchess,2009,294145,6095,909,5186,120
Erie,2009,905273,32656,4915,27741,1331
Essex,2009,36495,520,49,471,2
Franklin,2009,50448,937,65,872,8
Fulton,2009,54912,1522,112,1410,18
Genesee,2009,57420,1497,92,1405,12
Greene,2009,49071,851,102,749,11
Hamilton,2009,4980,51,2,49,0
Herkimer,2009,61943,1369,168,1201,9
Jefferson,2009,118766,2701,224,2477,28
Kings,2009,2567968,55816,15803,40013,0
Lewis,2009,26082,387,23,364,2
Livingston,2009,63003,998,69,929,9
Madison,2009,69784,1320,59,1261,8
Monroe,2009,731849,25856,2598,23258,785
Montgomery,2009,48557,726,131,595,10
Nassau,2009,1352956,21828,2496,19332,453
New York,2009,1642066,52899,8710,44189,0
Niagara,2009,213831,7173,847,6326,135
Oneida,2009,231141,6565,644,5921,136
Onondaga,2009,451917,13397,1675,11722,301
Ontario,2009,104919,1870,139,1731,25
Orange,2009,383829,8766,942,7824,127
Orleans,2009,41904,1266,71,1195,8
Oswego,2009,121238,2789,176,2613,20
Otsego,2009,61976,1201,140,1061,8
Putnam,2009,99574,963,85,878,5
Queens,2009,2303205,38925,9299,29626,0
Rensselaer,2009,155511,4809,513,4296,96
Richmond,2009,489575,6962,1303,5659,0
Rockland,2009,299944,4988,473,4515,60
Saratoga,2009,218936,2923,173,2750,15
Schenectady,2009,151942,5830,652,5178,129
Schoharie,2009,31936,572,27,545,3
Schuyler,2009,18839,174,18,156,4
Seneca,2009,34162,651,48,603,5
Steuben,2009,96303,1401,134,1267,3
St Lawrence,2009,109430,1818,194,1624,14
Suffolk,2009,1521962,32604,2740,29864,582
Sullivan,2009,76387,1544,186,1358,15
Tioga,2009,49986,555,30,525,6
Tompkins,2009,101616,2558,153,2405,13
Ulster,2009,182041,3898,445,3453,57
Warren,2009,66247,1444,77,1367,3
Washington,2009,62991,769,60,709,5
Wayne,2009,91270,1774,140,1634,15
Westchester,2009,956850,16636,2482,14154,317
Wyoming,2009,41453,500,47,453,8
Yates,2009,24634,350,11,339,0
Albany,2008,299789,10750,1356,9394,238
Allegany,2008,49594,651,91,560,2
Bronx,2008,1385371,35284,11345,23939,0
Broome,2008,195377,6863,555,6308,43
Cattaraugus,2008,77775,1930,215,1715,16
Cayuga,2008,79812,1853,147,1706,7
Chautauqua,2008,133217,3734,320,3414,35
Chemung,2008,87619,2337,204,2133,23
Chenango,2008,51170,934,41,893,4
Clinton,2008,82475,1819,142,1677,3
Columbia,2008,62256,1336,137,1199,15
Cortland,2008,48328,1106,112,994,4
Delaware,2008,45266,738,74,664,10
Dutchess,2008,294181,6537,892,5645,201
Erie,2008,908651,33375,4735,28640,1299
Essex,2008,36790,467,51,416,3
Franklin,2008,50353,1003,95,908,2
Fulton,2008,55012,1487,99,1388,12
Genesee,2008,57721,1446,113,1333,11
Greene,2008,49358,1418,102,1316,6
Hamilton,2008,5036,41,5,36,0
Herkimer,2008,62313,1285,201,1084,7
Jefferson,2008,117896,2771,271,2500,28
Kings,2008,2549604,59547,16895,42652,0
Lewis,2008,26403,384,35,349,5
