County,Year,Population,Index Count,Violent Count,Property Count,Firearm Count
Livingston,2008,63029,1075,72,1003,6
Madison,2008,69859,1461,70,1391,7
Monroe,2008,728695,24904,2917,21987,882
Montgomery,2008,48560,785,134,651,5
Nassau,2008,1354833,21075,2309,18766,407
New York,2008,1634686,54731,9176,45555,0
Niagara,2008,214193,7167,763,6404,107
Oneida,2008,231868,6610,672,5938,152
Onondaga,2008,453316,13460,1728,11732,309
Ontario,2008,104379,1897,108,1789,11
Orange,2008,381554,9184,1039,8145,123
Orleans,2008,42138,1107,73,1034,9
Oswego,2008,121286,2593,184,2409,29
Otsego,2008,62469,1102,86,1016,10
Putnam,2008,99894,1052,83,969,4
Queens,2008,2289695,41349,9689,31660,0
Rensselaer,2008,155621,4770,547,4223,89
Richmond,2008,485719,7508,1325,6183,0
Rockland,2008,298129,5047,542,4505,36
Saratoga,2008,217656,3140,161,2979,9
Schenectady,2008,151325,5643,740,4903,174
Schoharie,2008,32113,605,22,583,1
Schuyler,2008,18989,207,15,192,1
Seneca,2008,34332,665,46,619,5
Steuben,2008,96608,1498,161,1337,1
St Lawrence,2008,109530,2327,210,2117,6
Suffolk,2008,1522727,34015,2613,31402,568
Sullivan,2008,76571,1806,195,1611,11
Tioga,2008,50281,580,36,544,4
Tompkins,2008,101591,2475,137,2338,20
Ulster,2008,182305,3670,459,3211,33
Warren,2008,66478,1614,111,1503,4
Washington,2008,62944,911,119,792,6
Wayne,2008,90960,2008,185,1823,8
Westchester,2008,954255,16723,2414,14309,319
Wyoming,2008,41742,547,52,495,9
Yates,2008,24542,284,15,269,1
Albany,2007,297154,10584,1468,9116,208
Allegany,2007,50178,710,86,624,6
Bronx,2007,1364553,36053,11689,24364,0
Broome,2007,195161,6023,459,5564,33
Cattaraugus,2007,79103,2114,149,1965,25
Cayuga,2007,80918,1847,172,1675,16
Chautauqua,2007,134387,3805,341,3464,38
Chemung,2007,88057,2606,224,2382,28
Chenango,2007,51696,970,47,923,4
Clinton,2007,82260,2015,221,1794,4
Columbia,2007,62763,1362,149,1213,17
Cortland,2007,48336,1285,116,1169,14
Delaware,2007,45894,848,91,757,8
Dutchess,2007,296416,6421,895,5526,167
Erie,2007,914914,33249,4541,28708,1231
Essex,2007,37259,540,80,460,2
Franklin,2007,50805,997,145,852,13
Fulton,2007,55242,1615,132,1483,14
Genesee,2007,58342,1441,87,1354,6
Greene,2007,49912,1140,176,964,5
Hamilton,2007,5117,54,2,52,0
Herkimer,2007,63007,1191,177,1014,8
Jefferson,2007,114354,2535,288,2247,17
Kings,2007,2515380,59321,17526,41795,0
Lewis,2007,26568,409,65,344,2
Livingston,2007,63964,1561,61,1500,7
Madison,2007,70109,1434,74,1360,4
Monroe,2007,728081,25278,2956,22322,962
Montgomery,2007,48895,724,118,606,4
Nassau,2007,1320440,20020,2341,17679,398
New York,2007,1611158,55098,10055,45043,0
Niagara,2007,215039,6955,763,6192,104
Oneida,2007,233118,6915,700,6215,126
Onondaga,2007,455272,13260,1815,11445,380
Ontario,2007,104638,1814,99,1715,8
Orange,2007,380352,8781,1042,7739,118
Orleans,2007,42956,1091,91,1000,8
Oswego,2007,122810,2641,160,2481,18
Otsego,2007,62542,1185,100,1085,6
Putnam,2007,100963,983,71,912,1
Queens,2007,2252334,42630,9846,32784,0
Rensselaer,2007,155251,4539,495,4044,84
Richmond,2007,476771,6839,1337,5502,0
Rockland,2007,295219,4477,545,3932,35
Saratoga,2007,216944,3033,205,2828,5
Schenectady,2007,150599,5355,689,4666,133
Schoharie,2007,32193,567,33,534,1
Schuyler,2007,19382,167,19,148,1
Seneca,2007,34827,565,46,519,2
Steuben,2007,97881,1551,160,1391,4
St Lawrence,2007,110894,2318,196,2122,9
Suffolk,2007,1472242,31374,2657,28717,549
Sullivan,2007,76742,2067,268,1799,19
Tioga,2007,51076,533,35,498,5
Tompkins,2007,100687,2452,116,2336,8
Ulster,2007,182932,3473,455,3018,38
Warren,2007,66304,1629,109,1520,8
Washington,2007,63536,1003,128,875,10
Wayne,2007,92504,1784,162,1622,10
Westchester,2007,950091,16786,2478,14308,303
Wyoming,2007,42384,641,54,587,2
Yates,2007,24679,337,13,324,0
Albany,2006,298210,11935,1545,10390,200
Allegany,2006,50737,839,119,720,6
Bronx,2006,1363555,36655,11922,24733,0
Broome,2006,197474,6625,504,6121,39
Cattaraugus,2006,80814,2239,165,2074,17
Cayuga,2006,81672,1960,176,1784,18
Chautauqua,2006,136774,3652,330,3322,36
Chemung,2006,89752,2580,193,2387,25
Chenango,2006,51894,1108,96,1012,3
Clinton,2006,82267,1805,128,1677,7
Columbia,2006,63792,1323,125,1198,9
Cortland,2006,48752,1169,112,1057,4
Delaware,2006,46826,805,78,727,3
Dutchess,2006,295638,5973,854,5119,168
Erie,2006,933195,32581,5015,27566,1450
Essex,2006,37515,552,55,497,2
Franklin,2006,51170,965,157,808,9
Fulton,2006,55675,1517,100,1417,13
Genesee,2006,59301,1754,106,1648,4
Greene,2006,49815,969,183,786,5
Hamilton,2006,5242,74,6,68,0
Herkimer,2006,63951,1348,218,1130,5
Jefferson,2006,116696,3093,300,2793,25
Kings,2006,2490325,61368,17992,43376,0
Lewis,2006,26642,348,26,322,1
Livingston,2006,64377,1963,92,1871,10
Madison,2006,70525,1225,66,1159,7
Monroe,2006,735330,27682,3273,24409,1365
Montgomery,2006,49099,815,131,684,4
Nassau,2006,1336706,21231,2578,18653,468
New York,2006,1600341,56255,10662,45593,0
Niagara,2006,217589,7120,900,6220,175
Oneida,2006,234732,6369,664,5705,107
Onondaga,2006,459279,14204,1885,12319,392
Ontario,2006,104741,1889,130,1759,9
Orange,2006,373891,8351,971,7380,96
Orleans,2006,43503,940,89,851,3
Oswego,2006,123703,2736,158,2578,15
Otsego,2006,62914,1192,146,1046,11
Putnam,2006,100776,963,93,870,11
Queens,2006,2245375,44108,10102,34006,0
Rensselaer,2006,155667,4695,559,4136,109
Richmond,2006,465405,7136,1408,5728,0
Rockland,2006,293700,4746,507,4239,32
Saratoga,2006,215434,3287,244,3043,10
Schenectady,2006,149477,6185,799,5386,157
Schoharie,2006,32363,479,28,451,2
Schuyler,2006,19394,213,12,201,1
Seneca,2006,34948,590,46,544,1
Steuben,2006,98896,1770,259,1511,10
St Lawrence,2006,111678,2699,158,2541,8
Suffolk,2006,1478876,32596,3100,29496,619
Sullivan,2006,76744,2004,291,1713,26
Tioga,2006,51613,587,37,550,3
Tompkins,2006,100286,2720,147,2573,10
Ulster,2006,183182,3919,512,3407,24
Warren,2006,65724,1817,112,1705,2
Washington,2006,63193,1073,96,977,6
Wayne,2006,92018,2267,165,2102,9
Westchester,2006,943326,17678,2768,14910,406
Wyoming,2006,42807,753,100,653,6
Yates,2006,24822,373,23,350,1
Albany,2005,298859,12119,1615,10504,260
Allegany,2005,50647,1069,134,935,4
Bronx,2005,1355320,39024,12325,26699,0
Broome,2005,197979,6129,409,5720,31
Cattaraugus,2005,83298,2394,200,2194,22
Cayuga,2005,82033,1848,138,1710,5
Chautauqua,2005,137464,4003,390,3613,33
Chemung,2005,90113,2813,211,2602,19
Chenango,2005,51935,1103,104,999,2
Clinton,2005,81992,2011,173,1838,7
Columbia,2005,63759,1098,89,1009,7
Cortland,2005,49076,1396,130,1266,3
Delaware,2005,47396,747,82,665,12
Dutchess,2005,293815,6023,826,5197,99
Erie,2005,937659,34458,5017,29441,1353
Essex,2005,38957,549,53,496,4
Franklin,2005,51082,867,155,712,8
Fulton,2005,55542,1607,109,1498,11
Genesee,2005,59775,1693,96,1597,7
Greene,2005,49265,828,133,695,2
Hamilton,2005,5234,84,3,81,1
Herkimer,2005,63949,1468,210,1258,9
Jefferson,2005,111627,3061,290,2771,19
Kings,2005,2475286,66239,19369,46870,0
Lewis,2005,26602,366,28,338,0
Livingston,2005,64912,1902,66,1836,3
Madison,2005,70508,1298,83,1215,10
Monroe,2005,736230,27779,2735,25044,1046
Montgomery,2005,49354,875,122,753,4
Nassau,2005,1341560,20760,2565,18195,487
New York,2005,1590675,59682,11180,48502,0
Niagara,2005,218372,7297,970,6327,208
Oneida,2005,235299,6301,514,5787,53
Onondaga,2005,460464,13906,1969,11937,395
Ontario,2005,103652,1725,110,1615,17
Orange,2005,370883,8169,976,7193,145
Orleans,2005,44201,745,108,637,3
Oswego,2005,123953,2659,187,2472,8
Otsego,2005,62608,1196,112,1084,10
Putnam,2005,100714,1112,95,1017,5
Queens,2005,2231815,45122,10250,34872,0
Rensselaer,2005,154298,4421,490,3931,61
Richmond,2005,462594,7065,1499,5566,0
Rockland,2005,294047,4758,541,4217,45
Saratoga,2005,213011,2870,269,2601,13
Schenectady,2005,148254,5764,708,5056,154
Schoharie,2005,32058,498,33,465,5
Schuyler,2005,19533,341,30,311,2
Seneca,2005,35125,587,37,550,0
Steuben,2005,98956,2153,202,1951,3
St Lawrence,2005,111465,2673,174,2499,6
Suffolk,2005,1477602,32092,3109,28983,680
Sullivan,2005,76219,2221,260,1961,22
Tioga,2005,51609,513,29,484,2
Tompkins,2005,100278,2812,147,2665,23
Ulster,2005,182039,4062,558,3504,35
Warren,2005,65240,1566,89,1477,7
Washington,2005,62897,909,97,812,6
Wayne,2005,93995,2218,171,2047,7
Westchester,2005,943794,17345,2648,14697,376
Wyoming,2005,43048,704,83,621,1
Yates,2005,24704,302,19,283,0
Albany,2004,298419,12710,1431,11279,194
Allegany,2004,50659,943,97,846,4
Bronx,2004,1369123,40939,12797,28142,0
Broome,2004,199744,5909,328,5581,28
Cattaraugus,2004,83515,2481,211,2270,16
Cayuga,2004,81883,1770,131,1639,10
Chautauqua,2004,137910,3804,347,3457,32
Chemung,2004,90587,3070,253,2817,27
Chenango,2004,51759,1096,119,977,2
Clinton,2004,81523,1588,187,1401,4
Columbia,2004,63527,1082,74,1008,4
Cortland,2004,48785,1374,107,1267,6
Delaware,2004,47317,844,88,756,4
Dutchess,2004,291445,5310,747,4563,92
Erie,2004,943107,33304,4715,28589,1068
Essex,2004,39067,470,61,409,4
Franklin,2004,51154,1029,165,864,2
Fulton,2004,55312,1499,95,1404,13
Genesee,2004,60136,1825,108,1717,10
Greene,2004,48959,803,140,663,6
Hamilton,2004,5288,57,4,53,0
Herkimer,2004,63827,1177,177,1000,10
Jefferson,2004,114872,2281,230,2051,13
Kings,2004,2479004,67962,19735,48227,0
Lewis,2004,26687,317,26,291,0
Livingston,2004,64783,1725,86,1639,10
Madison,2004,70317,1404,71,1333,4
Monroe,2004,738157,30947,2332,28615,942
Montgomery,2004,49466,726,56,670,5
Nassau,2004,1342044,22317,2501,19816,415
New York,2004,1563556,62731,11414,51317,0
Niagara,2004,218570,7860,895,6965,135
Oneida,2004,234825,6398,546,5852,63
Onondaga,2004,461404,14241,1674,12567,295
Ontario,2004,102642,1806,88,1718,13
Orange,2004,363853,7360,930,6430,92
Orleans,2004,43713,646,71,575,1
Oswego,2004,123733,2632,136,2496,9
Otsego,2004,62316,1206,129,1077,9
Putnam,2004,99742,1089,77,1012,4
Queens,2004,2227863,48142,10323,37819,0
Rensselaer,2004,154304,4318,488,3830,52
Richmond,2004,461775,7102,1419,5683,0
Rockland,2004,293553,5232,571,4661,63
Saratoga,2004,210222,2851,248,2603,11
Schenectady,2004,147573,5418,613,4805,125
Schoharie,2004,31746,523,45,478,0
Schuyler,2004,19492,347,12,335,6
Seneca,2004,35251,586,37,549,0
Steuben,2004,99203,2093,188,1905,10
St Lawrence,2004,111870,2644,144,2500,6
Suffolk,2004,1470865,32016,2844,29172,512
Sullivan,2004,75092,1880,273,1607,17
Tioga,2004,51846,546,29,517,1
Tompkins,2004,101606,2263,116,2147,5
Ulster,2004,181460,3905,467,3438,24
Warren,2004,64840,1457,98,1359,7
Washington,2004,61991,774,86,688,2
Wayne,2004,93909,2182,197,1985,8
Westchester,2004,942114,18622,2601,16021,326
Wyoming,2004,43015,681,58,623,3
Yates,2004,24768,326,30,296,2
Albany,2003,296677,11977,1402,10575,183
Allegany,2003,50266,846,100,746,3
Bronx,2003,1352377,43071,13381,29690,0
Broome,2003,200665,6062,407,5655,36
Cattaraugus,2003,83411,2325,205,2120,19
Cayuga,2003,81701,1813,186,1627,17
Chautauqua,2003,138567,3966,347,3619,52
Chemung,2003,90768,2916,277,2639,31
Chenango,2003,51411,1228,112,1116,0
Clinton,2003,81207,1599,167,1432,5
Columbia,2003,63640,887,64,823,4
Cortland,2003,48897,1366,95,1271,6
Delaware,2003,47382,937,111,826,9
Dutchess,2003,288241,6225,786,5439,94
Erie,2003,946656,34622,4843,29779,1184
Essex,2003,39001,568,51,517,0
Franklin,2003,51051,1003,193,810,4
Fulton,2003,55143,1288,82,1206,12
Genesee,2003,59901,1778,115,1663,17
Greene,2003,48621,718,152,566,5
Hamilton,2003,5304,71,3,68,0
Herkimer,2003,63849,1409,226,1183,6
Jefferson,2003,108344,2190,197,1993,15
Kings,2003,2494204,71289,21485,49804,0
Lewis,2003,26718,344,47,297,0
Livingston,2003,64934,1773,95,1678,8
Madison,2003,69908,1266,82,1184,6
Monroe,2003,739678,31688,2623,29065,1119
Montgomery,2003,49471,694,46,648,1
Nassau,2003,1347179,22943,2598,20345,470
New York,2003,1546731,64456,12179,52277,0
Niagara,2003,218470,7613,879,6734,122
Oneida,2003,235366,6394,700,5694,117
Onondaga,2003,461560,16123,1762,14361,311
Ontario,2003,101740,2103,118,1985,10
Orange,2003,357380,7902,932,6970,76
Orleans,2003,43966,498,70,428,5
Oswego,2003,123141,2538,142,2396,10
Otsego,2003,62176,1178,133,1045,10
Putnam,2003,98424,1188,79,1109,6
Queens,2003,2243164,50442,11106,39336,0
Rensselaer,2003,153560,4636,528,4108,60
Richmond,2003,461590,6957,1297,5660,0
Rockland,2003,292331,4946,554,4392,58
Saratoga,2003,207487,2629,197,2432,13
Schenectady,2003,147370,4788,554,4234,115
Schoharie,2003,31909,648,40,608,3
Schuyler,2003,19408,322,21,301,5
Seneca,2003,35035,606,44,562,0
Steuben,2003,99482,1516,126,1390,7
St Lawrence,2003,111362,2579,216,2363,8
Suffolk,2003,1461136,35391,2975,32416,618
Sullivan,2003,74399,2106,294,1812,17
Tioga,2003,51860,600,32,568,4
Tompkins,2003,99376,2294,128,2166,10
Ulster,2003,180292,4026,582,3444,42
Warren,2003,64015,1600,135,1465,16
Washington,2003,61299,1016,185,831,7
Wayne,2003,94238,2255,145,2110,17
Westchester,2003,938873,19498,2616,16882,409
Wyoming,2003,43238,1006,80,926,2
Yates,2003,24565,360,30,330,0
Albany,2002,297376,12784,1706,11078,224
Allegany,2002,50404,862,116,746,8
Bronx,2002,1325890,44035,14112,29923,0
Broome,2002,202449,6288,468,5820,46
Cattaraugus,2002,84756,2102,215,1887,13
Cayuga,2002,82745,1844,165,1679,6
Chautauqua,2002,141084,3575,339,3236,23
Chemung,2002,91939,3035,308,2727,39
Chenango,2002,51891,1283,117,1166,11
Clinton,2002,80656,1552,231,1321,6
Columbia,2002,63696,1073,114,959,18
Cortland,2002,49062,1513,93,1420,4
Delaware,2002,48513,936,135,801,7
Dutchess,2002,282823,5968,696,5272,116
Erie,2002,959333,32269,4635,27634,1101
Essex,2002,39222,672,64,608,6
Franklin,2002,51622,1059,197,862,5
Fulton,2002,55598,1495,74,1421,4
Genesee,2002,60946,1683,108,1575,4
Greene,2002,48655,810,146,664,3
Hamilton,2002,5431,110,7,103,0
Herkimer,2002,65041,1414,211,1203,9
Jefferson,2002,112804,2060,217,1843,13
Kings,2002,2538594,73707,22466,51241,0
Lewis,2002,27201,336,40,296,0
Livingston,2002,64942,1614,79,1535,1
Madison,2002,70104,1366,77,1289,6
Monroe,2002,742360,30543,2303,28240,908
Montgomery,2002,50183,799,86,713,6
Nassau,2002,1347279,23197,2705,20492,429
New York,2002,1641192,68152,13211,54941,0
Niagara,2002,221944,7964,815,7149,110
Oneida,2002,237716,6787,689,6098,97
Onondaga,2002,462710,17634,1966,15668,312
Ontario,2002,101181,2067,102,1965,18
Orange,2002,344624,8721,1239,7482,145
Orleans,2002,44592,649,95,554,5
Oswego,2002,123545,3077,183,2894,17
Otsego,2002,62265,1150,159,991,14
Putnam,2002,96658,1282,73,1209,3
Queens,2002,2158613,56889,12625,44264,0
Rensselaer,2002,153993,4953,547,4406,84
Richmond,2002,420404,7848,1426,6422,0
Rockland,2002,289489,5409,649,4760,58
Saratoga,2002,202550,2860,262,2598,28
Schenectady,2002,147953,5157,563,4594,104
Schoharie,2002,31884,640,67,573,3
Schuyler,2002,19407,324,29,295,7
Seneca,2002,33661,636,55,581,0
Steuben,2002,99668,1417,122,1295,6
St Lawrence,2002,112999,2523,264,2259,8
Suffolk,2002,1432913,36706,3123,33583,600
Sullivan,2002,74672,1837,256,1581,30
Tioga,2002,52278,610,38,572,3
Tompkins,2002,97422,3005,132,2873,5
Ulster,2002,179445,4106,525,3581,26
Warren,2002,63907,1892,122,1770,16
Washington,2002,61624,1123,213,910,0
Wayne,2002,94660,2020,135,1885,12
Westchester,2002,932270,19948,2575,17373,379
Wyoming,2002,43838,1145,72,1073,2
Yates,2002,24856,389,30,359,1
Albany,2001,295107,13733,1649,12084,252
Allegany,2001,50019,900,143,757,3
Bronx,2001,1315775,46367,14793,31574,2057
Broome,2001,200905,5830,443,5387,47
Cattaraugus,2001,84109,1897,190,1707,7
Cayuga,2001,82114,1906,177,1729,6
Chautauqua,2001,140007,3631,350,3281,23
Chemung,2001,91238,2814,251,2563,28
Chenango,2001,51496,1235,130,1105,5
Clinton,2001,80041,1451,202,1249,2
Columbia,2001,63210,1074,116,958,14
Cortland,2001,48688,1587,101,1486,3
Delaware,2001,48143,812,113,699,15
Dutchess,2001,280666,6118,627,5491,72
Erie,2001,952014,35182,4572,30610,1032
Essex,2001,38922,719,58,661,3
Franklin,2001,51228,1018,199,819,1
Fulton,2001,55174,1476,93,1383,6
Genesee,2001,60481,1585,96,1489,6
Greene,2001,48284,931,175,756,8
Hamilton,2001,5389,100,3,97,0
Herkimer,2001,64546,1341,171,1170,2
Jefferson,2001,111944,2212,174,2038,16
Kings,2001,2519228,77831,25226,52605,4091
Lewis,2001,26994,316,44,272,0
Livingston,2001,64446,1642,66,1576,6
Madison,2001,69569,1454,99,1355,4
Monroe,2001,736696,30236,2096,28140,816
Montgomery,2001,49799,931,101,830,7
Nassau,2001,1337000,23077,2671,20406,463
New York,2001,1628673,72996,14248,58748,1606
Niagara,2001,220251,7946,733,7213,119
Oneida,2001,235902,6726,602,6124,90
Onondaga,2001,459179,17509,2023,15486,272
Ontario,2001,100408,2011,97,1914,8
Orange,2001,341995,8601,1036,7565,111
Orleans,2001,44252,572,65,507,5
Oswego,2001,122602,2994,116,2878,10
Otsego,2001,61789,910,117,793,25
Putnam,2001,95921,1099,91,1008,7
Queens,2001,2142146,59338,12991,46347,1870
Rensselaer,2001,152819,4662,458,4204,59
Richmond,2001,417196,7693,1479,6214,141
Rockland,2001,287281,6099,719,5380,56
Saratoga,2001,201004,3168,265,2903,32
Schenectady,2001,146825,5478,619,4859,111
Schoharie,2001,31640,633,46,587,8
Schuyler,2001,19259,390,31,359,5
Seneca,2001,33403,606,57,549,4
Steuben,2001,98908,2025,120,1905,6
St. Lawrence,2001,112137,2526,225,2301,6
Suffolk,2001,1421981,37655,3326,34329,662
Sullivan,2001,74102,1817,259,1558,16
Tioga,2001,51879,542,31,511,2
Tompkins,2001,96679,2614,121,2493,10
Ulster,2001,178076,3500,359,3141,14
Warren,2001,63419,1772,101,1671,7
Washington,2001,61154,960,195,765,4
Wayne,2001,93938,2113,139,1974,13
Westchester,2001,925158,21591,2789,18802,381
Wyoming,2001,43504,1185,102,1083,4
Yates,2001,24666,348,19,329,0
Albany,2000,304521,14096,1353,12743,153
Allegany,2000,52720,964,143,821,4
Bronx,2000,1270428,49537,16482,33055,2282
Broome,2000,203614,6043,420,5623,45
Cattaraugus,2000,88097,1881,194,1687,21
Cayuga,2000,85205,1899,175,1724,4
Chautauqua,2000,143321,3946,287,3659,18
Chemung,2000,95670,2861,271,2590,24
Chenango,2000,52877,1173,103,1070,3
Clinton,2000,83139,1415,239,1176,2
Columbia,2000,65702,1128,146,982,10
Cortland,2000,50063,1633,105,1528,1
Delaware,2000,48349,701,104,597,3
Dutchess,2000,279733,6346,609,5737,77
Erie,2000,965641,35471,4545,30926,1074
Essex,2000,39114,767,125,642,1
Franklin,2000,50590,1020,205,815,2
Fulton,2000,55116,1513,134,1379,20
Genesee,2000,63061,1634,85,1549,9
Greene,2000,50420,888,153,735,3
Hamilton,2000,5412,123,7,116,0
Herkimer,2000,66069,1402,163,1239,5
Jefferson,2000,114631,2136,157,1979,11
Kings,2000,2432404,85912,27611,58301,5042
Lewis,2000,28459,262,14,248,1
Livingston,2000,68673,1552,88,1464,7
Madison,2000,74175,1357,90,1267,5
Monroe,2000,742951,31934,2089,29845,735
Montgomery,2000,52528,988,107,881,4
Nassau,2000,1360988,25981,2389,23592,375
New York,2000,1572542,79279,15583,63696,1787
Niagara,2000,225428,7259,725,6534,79
Oneida,2000,239559,6451,577,5874,118
Onondaga,2000,475767,16445,2001,14444,318
Ontario,2000,104068,1976,107,1869,18
Orange,2000,348522,8755,1014,7741,99
Orleans,2000,46952,689,57,632,1
Oswego,2000,129184,2478,111,2367,4
Otsego,2000,63217,1032,134,898,5
Putnam,2000,98909,1071,53,1018,1
Queens,2000,2068318,64662,14349,50313,2053
Rensselaer,2000,157936,4881,481,4400,50
Richmond,2000,402819,8605,1714,6891,242
Rockland,2000,296194,6009,635,5374,59
Saratoga,2000,208293,3026,263,2763,15
Schenectady,2000,150037,5285,559,4726,109
Schoharie,2000,33424,555,26,529,1
Schuyler,2000,20053,423,21,402,5
Seneca,2000,33293,689,31,658,2
Steuben,2000,101886,2049,137,1912,6
St. Lawrence,2000,117690,2808,234,2574,10
Suffolk,2000,1443155,36411,3049,33362,473
Sullivan,2000,72302,2202,285,1917,17
Tioga,2000,54454,507,34,473,3
Tompkins,2000,101841,2558,113,2445,6
Ulster,2000,174463,3963,401,3562,22
Warren,2000,64074,1774,110,1664,10
Washington,2000,62718,1111,206,905,6
Wayne,2000,99615,2151,121,2030,13
Westchester,2000,944382,22034,2624,19410,430
Wyoming,2000,46083,1124,113,1011,5
Yates,2000,25608,348,26,322,1
Albany,1999,292929,14145,1133,13012,113
Allegany,1999,51057,759,94,665,11
Bronx,1999,1218399,49928,16820,33108,2301
Broome,1999,196775,6049,386,5663,34
Cattaraugus,1999,85186,1716,176,1540,6
Cayuga,1999,81359,1996,179,1817,3
Chautauqua,1999,138265,3797,311,3486,32
Chemung,1999,92129,2926,275,2651,28
Chenango,1999,51112,1162,153,1009,3
Clinton,1999,80064,1442,214,1228,0
Columbia,1999,63295,1362,200,1162,18
Cortland,1999,48089,1692,86,1606,2
Delaware,1999,46140,832,102,730,7
Dutchess,1999,265628,6618,603,6015,93
Erie,1999,935566,35890,4162,31728,852
Essex,1999,37592,649,111,538,0
Franklin,1999,48639,928,177,751,2
Fulton,1999,52976,1532,140,1392,5
Genesee,1999,60725,1461,87,1374,5
Greene,1999,47863,1110,219,891,3
Hamilton,1999,5199,135,7,128,1
Herkimer,1999,64124,1450,157,1293,12
Jefferson,1999,111180,2226,165,2061,10
Kings,1999,2332789,89153,28725,60428,5134
Lewis,1999,27526,284,29,255,1
Livingston,1999,66077,1553,112,1441,8
Madison,1999,71152,1264,69,1195,1
Monroe,1999,716911,30524,1943,28581,647
Montgomery,1999,50814,962,107,855,7
Nassau,1999,1303746,28198,2595,25603,570
New York,1999,1508140,81613,16179,65434,2078
Niagara,1999,218326,7391,734,6657,115
Oneida,1999,230898,6588,523,6065,87
Onondaga,1999,458838,16473,1995,14478,251
Ontario,1999,99779,2308,129,2179,4
Orange,1999,329606,8801,1005,7796,104
Orleans,1999,44570,893,94,799,2
Oswego,1999,124151,2763,126,2637,3
Otsego,1999,60859,1373,167,1206,4
Putnam,1999,93467,1220,66,1154,11
Queens,1999,1983613,70598,15700,54898,2341
Rensselaer,1999,152868,4774,461,4313,70
Richmond,1999,386322,8617,1547,7070,200
Rockland,1999,281668,6707,739,5968,76
Saratoga,1999,197838,2935,218,2717,14
Schenectady,1999,145701,5425,570,4855,55
