County,Year,Population
Albany,2017,310352
Allegany,2017,46878
Bronx,2017,1470074
Broome,2017,194923
Cattaraugus,2017,75611
Cayuga,2017,77712
Chautauqua,2017,128942
Chemung,2017,86084
Chenango,2017,48397
Clinton,2017,81093
Columbia,2017,60796
Cortland,2017,47986
Delaware,2017,44468
Dutchess,2017,294598
Erie,2017,923447
Essex,2017,36491
Franklin,2017,50324
Fulton,2017,53556
Genesee,2017,58252
Greene,2017,47352
Hamilton,2017,4505
Herkimer,2017,62458
Jefferson,2017,113858
Kings,2017,2646816
Lewis,2017,26893
Livingston,2017,64242
Madison,2017,71146
Monroe,2017,749892
Montgomery,2017,49222
Nassau,2017,1367901
New York,2017,1663498
Niagara,2017,211460
Oneida,2017,231112
Onondaga,2017,467033
Ontario,2017,110349
Orange,2017,381037
Orleans,2017,41194
Oswego,2017,118741
Otsego,2017,59891
Putnam,2017,98971
Queens,2017,2356841
Rensselaer,2017,160555
Richmond,2017,479104
Rockland,2017,329966
Saratoga,2017,228753
Schenectady,2017,154847
Schoharie,2017,31166
Schuyler,2017,18106
Seneca,2017,34779
Steuben,2017,96823
St Lawrence,2017,109995
Suffolk,2017,1495619
Sullivan,2017,74545
Tioga,2017,48507
Tompkins,2017,105637
Ulster,2017,179106
Warren,2017,64530
Washington,2017,61690
Wayne,2017,90519
Westchester,2017,980819
Wyoming,2017,40666
Yates,2017,24910
Albany,2016,308401
Allegany,2016,46858
Bronx,2016,1458255
Broome,2016,194518
Cattaraugus,2016,75126
Cayuga,2016,77462
Chautauqua,2016,129139
Chemung,2016,86124
Chenango,2016,48229
Clinton,2016,80553
Columbia,2016,60806
Cortland,2016,48022
Delaware,2016,44601
Dutchess,2016,293404
Erie,2016,917172
Essex,2016,36615
Franklin,2016,50135
Fulton,2016,53221
Genesee,2016,58209
Greene,2016,47019
Hamilton,2016,4657
Herkimer,2016,62419
Jefferson,2016,117080
Kings,2016,2641827
Lewis,2016,26758
Livingston,2016,64186
Madison,2016,71064
Monroe,2016,745585
Montgomery,2016,49187
Nassau,2016,1356246
New York,2016,1647694
Niagara,2016,210491
Oneida,2016,230500
Onondaga,2016,465564
Ontario,2016,109105
Orange,2016,375993
Orleans,2016,41061
Oswego,2016,118961
Otsego,2016,59929
Putnam,2016,98238
Queens,2016,2343667
Rensselaer,2016,159384
Richmond,2016,475474
Rockland,2016,326643
Saratoga,2016,225997
Schenectady,2016,153524
Schoharie,2016,30860
Schuyler,2016,18042
Seneca,2016,34522
Steuben,2016,96718
St Lawrence,2016,110113
Suffolk,2016,1492991
Sullivan,2016,73885
Tioga,2016,48810
Tompkins,2016,104871
Ulster,2016,178502
Warren,2016,64064
Washington,2016,61610
Wayne,2016,90389
Westchester,2016,975138
Wyoming,2016,40531
Yates,2016,24823
Albany,2015,308613
Allegany,2015,47336
Bronx,2015,1448285
Broome,2015,196201
Cattaraugus,2015,76211
Cayuga,2015,78420
Chautauqua,2015,131108
Chemung,2015,87307
Chenango,2015,49105
Clinton,2015,81364
Columbia,2015,61779
Cortland,2015,48870
Delaware,2015,45371
Dutchess,2015,295721
Erie,2015,922022
Essex,2015,36992
Franklin,2015,51082
Fulton,2015,53542
Genesee,2015,58705
Greene,2015,47590
Hamilton,2015,4678
Herkimer,2015,63446
Jefferson,2015,119514
Kings,2015,2640252
Lewis,2015,27205
Livingston,2015,64291
Madison,2015,71972
Monroe,2015,749690
Montgomery,2015,49555
Nassau,2015,1360265
New York,2015,1647788
Niagara,2015,212368
Oneida,2015,231920
Onondaga,2015,467471
Ontario,2015,109863
Orange,2015,376037
Orleans,2015,41689
Oswego,2015,120368
Otsego,2015,60737
Putnam,2015,99220
Queens,2015,2337925
Rensselaer,2015,159567
Richmond,2015,476611
Rockland,2015,326136
Saratoga,2015,225720
Schenectady,2015,155634
Schoharie,2015,31235
Schuyler,2015,18488
Seneca,2015,34726
Steuben,2015,98066
St Lawrence,2015,111077
Suffolk,2015,1502075
Sullivan,2015,75425
Tioga,2015,49485
Tompkins,2015,105240
Ulster,2015,179613
Warren,2015,64672
Washington,2015,62016
Wayne,2015,91455
Westchester,2015,976316
Wyoming,2015,40883
Yates,2015,25121
Albany,2014,308166
Allegany,2014,47972
Bronx,2014,1440569
Broome,2014,197126
Cattaraugus,2014,76828
Cayuga,2014,79512
Chautauqua,2014,132852
Chemung,2014,88535
Chenango,2014,49375
Clinton,2014,81604
Columbia,2014,62148
Cortland,2014,48983
Delaware,2014,45709
Dutchess,2014,297173
Erie,2014,921558
Essex,2014,37221
Franklin,2014,51796
Fulton,2014,54329
Genesee,2014,59274
Greene,2014,48364
Hamilton,2014,4766
Herkimer,2014,64218
Jefferson,2014,120437
Kings,2014,2609973
Lewis,2014,27211
Livingston,2014,64636
Madison,2014,72243
Monroe,2014,752007
Montgomery,2014,49874
Nassau,2014,1357041
New York,2014,1635470
Niagara,2014,214023
Oneida,2014,233634
Onondaga,2014,469355
Ontario,2014,109535
Orange,2014,376716
Orleans,2014,42149
Oswego,2014,121109
Otsego,2014,61644
Putnam,2014,99778
Queens,2014,2313385
Rensselaer,2014,160303
Richmond,2014,474541
Rockland,2014,323543
Saratoga,2014,225201
Schenectady,2014,155678
Schoharie,2014,31691
Schuyler,2014,18529
Seneca,2014,35503
Steuben,2014,98730
St Lawrence,2014,112184
Suffolk,2014,1503376
Sullivan,2014,76591
Tioga,2014,50124
Tompkins,2014,104271
Ulster,2014,180937
Warren,2014,65353
Washington,2014,63134
Wayne,2014,92302
Westchester,2014,974944
Wyoming,2014,41454
Yates,2014,25146
Albany,2013,306300
Allegany,2013,48220
Bronx,2013,1427341
Broome,2013,197527
Cattaraugus,2013,77430
Cayuga,2013,79520
Chautauqua,2013,133288
Chemung,2013,89040
Chenango,2013,49857
Clinton,2013,81595
Columbia,2013,62398
Cortland,2013,49599
Delaware,2013,46322
Dutchess,2013,297521
Erie,2013,920162
Essex,2013,37412
Franklin,2013,51936
Fulton,2013,54677
Genesee,2013,59887
Greene,2013,48582
Hamilton,2013,4768
Herkimer,2013,64596
Jefferson,2013,121663
Kings,2013,2586007
Lewis,2013,27307
Livingston,2013,64718
Madison,2013,72132
Monroe,2013,749775
Montgomery,2013,49898
Nassau,2013,1353478
New York,2013,1620452
Niagara,2013,214912
Oneida,2013,233394
Onondaga,2013,467218
Ontario,2013,108796
Orange,2013,375281
Orleans,2013,42878
Oswego,2013,121698
Otsego,2013,61617
Putnam,2013,99665
Queens,2013,2292142
Rensselaer,2013,160153
Richmond,2013,470183
Rockland,2013,319900
Saratoga,2013,223105
Schenectady,2013,155367
Schoharie,2013,31944
Schuyler,2013,18604
Seneca,2013,35375
Steuben,2013,99222
St Lawrence,2013,112480
Suffolk,2013,1502540
Sullivan,2013,76673
Tioga,2013,50342
Tompkins,2013,102977
Ulster,2013,181804
Warren,2013,65566
Washington,2013,62893
Wayne,2013,92809
Westchester,2013,966498
Wyoming,2013,41875
Yates,2013,25375
Albany,2012,305204
Allegany,2012,49041
Bronx,2012,1404471
Broome,2012,200105
Cattaraugus,2012,78364
Cayuga,2012,80168
Chautauqua,2012,135093
Chemung,2012,89320
Chenango,2012,50389
Clinton,2012,82387
Columbia,2012,62888
Cortland,2012,49629
Delaware,2012,46974
Dutchess,2012,299607
Erie,2012,922983
Essex,2012,37885
Franklin,2012,51829
Fulton,2012,55347
Genesee,2012,60189
Greene,2012,49218
Hamilton,2012,4819
Herkimer,2012,64506
Jefferson,2012,118546
Kings,2012,2539714
Lewis,2012,27218
Livingston,2012,65421
Madison,2012,73761
Monroe,2012,749650
Montgomery,2012,50185
Nassau,2012,1351693
New York,2012,1608042
Niagara,2012,217177
Oneida,2012,235552
Onondaga,2012,469480
Ontario,2012,109111
Orange,2012,376895
Orleans,2012,42852
Oswego,2012,122888
Otsego,2012,62251
Putnam,2012,100472
Queens,2012,2261906
Rensselaer,2012,160255
Richmond,2012,475282
Rockland,2012,316859
Saratoga,2012,222074
Schenectady,2012,155895
Schoharie,2012,32754
Schuyler,2012,18460
Seneca,2012,35388
Steuben,2012,99568
St Lawrence,2012,112293
Suffolk,2012,1506906
Sullivan,2012,77315
Tioga,2012,51319
Tompkins,2012,102272
Ulster,2012,183433
Warren,2012,66186
Washington,2012,63506
Wayne,2012,93940
Westchester,2012,961058
Wyoming,2012,42170
Yates,2012,25591
Albany,2011,305571
Allegany,2011,49166
Bronx,2011,1391333
Broome,2011,201502
Cattaraugus,2011,78771
Cayuga,2011,80386
Chautauqua,2011,135511
Chemung,2011,89229
Chenango,2011,50704
Clinton,2011,82497
Columbia,2011,63380
Cortland,2011,49558
Delaware,2011,47349
Dutchess,2011,298825
Erie,2011,923171
Essex,2011,38031
Franklin,2011,51831
Fulton,2011,55649
Genesee,2011,60220
Greene,2011,49442
Hamilton,2011,4858
Herkimer,2011,64809
Jefferson,2011,116751
Kings,2011,2515957
Lewis,2011,27209
Livingston,2011,65687
Madison,2011,73772
Monroe,2011,747689
Montgomery,2011,50445
Nassau,2011,1345553
New York,2011,1593000
Niagara,2011,217442
Oneida,2011,235934
Onondaga,2011,469125
Ontario,2011,108416
Orange,2011,374489
Orleans,2011,43076
Oswego,2011,122658
Otsego,2011,62539
Putnam,2011,100158
Queens,2011,2240748
Rensselaer,2011,160146
Richmond,2011,470837
Rockland,2011,313088
Saratoga,2011,220594
Schenectady,2011,155422
Schoharie,2011,32896
Schuyler,2011,18425
Seneca,2011,35409
Steuben,2011,99435
St Lawrence,2011,112447
Suffolk,2011,1500062
Sullivan,2011,77896
Tioga,2011,51355
Tompkins,2011,102020
Ulster,2011,183313
Warren,2011,66002
Washington,2011,63500
Wayne,2011,94193
Westchester,2011,953379
Wyoming,2011,42344
Yates,2011,25462
Albany,2010,295267
Allegany,2010,48531
Bronx,2010,1387983
Broome,2010,191892
Cattaraugus,2010,76602
Cayuga,2010,78400
Chautauqua,2010,131411
Chemung,2010,87073
Chenango,2010,49978
Clinton,2010,80874
Columbia,2010,60786
Cortland,2010,47401
Delaware,2010,43997
Dutchess,2010,291541
Erie,2010,895158
Essex,2010,35964
Franklin,2010,49634
Fulton,2010,54344
Genesee,2010,56871
Greene,2010,48478
Hamilton,2010,4824
Herkimer,2010,61330
Jefferson,2010,118131
Kings,2010,2550004
Lewis,2010,25785
Livingston,2010,62020
Madison,2010,69222
Monroe,2010,724942
Montgomery,2010,47969
Nassau,2010,1344303
New York,2010,1618207
Niagara,2010,211650
Oneida,2010,228059
Onondaga,2010,449339
Ontario,2010,105010
Orange,2010,383475
Orleans,2010,41377
Oswego,2010,119906
Otsego,2010,60905
Putnam,2010,98472
Queens,2010,2291352
Rensselaer,2010,154087
Richmond,2010,488456
Rockland,2010,298092
Saratoga,2010,219519
Schenectady,2010,151036
Schoharie,2010,31169
Schuyler,2010,18455
Seneca,2010,33740
Steuben,2010,95252
St Lawrence,2010,108273
Suffolk,2010,1511183
Sullivan,2010,75137
Tioga,2010,49341
Tompkins,2010,101158
Ulster,2010,179764
Warren,2010,65549
Washington,2010,62227
Wayne,2010,90027
Westchester,2010,948303
Wyoming,2010,40743
Yates,2010,24182
Albany,2009,298400
Allegany,2009,49605
Bronx,2009,1398093
Broome,2009,194381
Cattaraugus,2009,77397
Cayuga,2009,79569
Chautauqua,2009,133112
Chemung,2009,87431
Chenango,2009,50830
Clinton,2009,82153
Columbia,2009,61871
Cortland,2009,48257
Delaware,2009,45075
Dutchess,2009,294145
Erie,2009,905273
Essex,2009,36495
Franklin,2009,50448
Fulton,2009,54912
Genesee,2009,57420
Greene,2009,49071
Hamilton,2009,4980
Herkimer,2009,61943
Jefferson,2009,118766
Kings,2009,2567968
Lewis,2009,26082
Livingston,2009,63003
Madison,2009,69784
Monroe,2009,731849
Montgomery,2009,48557
Nassau,2009,1352956
New York,2009,1642066
Niagara,2009,213831
Oneida,2009,231141
Onondaga,2009,451917
Ontario,2009,104919
Orange,2009,383829
Orleans,2009,41904
Oswego,2009,121238
Otsego,2009,61976
Putnam,2009,99574
Queens,2009,2303205
Rensselaer,2009,155511
Richmond,2009,489575
Rockland,2009,299944
Saratoga,2009,218936
Schenectady,2009,151942
Schoharie,2009,31936
Schuyler,2009,18839
Seneca,2009,34162
Steuben,2009,96303
St Lawrence,2009,109430
Suffolk,2009,1521962
Sullivan,2009,76387
Tioga,2009,49986
Tompkins,2009,101616
Ulster,2009,182041
Warren,2009,66247
Washington,2009,62991
Wayne,2009,91270
Westchester,2009,956850
Wyoming,2009,41453
Yates,2009,24634
Albany,2008,299789
Allegany,2008,49594
Bronx,2008,1385371
Broome,2008,195377
Cattaraugus,2008,77775
Cayuga,2008,79812
Chautauqua,2008,133217
Chemung,2008,87619
Chenango,2008,51170
Clinton,2008,82475
Columbia,2008,62256
Cortland,2008,48328
Delaware,2008,45266
Dutchess,2008,294181
Erie,2008,908651
Essex,2008,36790
Franklin,2008,50353
Fulton,2008,55012
Genesee,2008,57721
Greene,2008,49358
Hamilton,2008,5036
Herkimer,2008,62313
Jefferson,2008,117896
Kings,2008,2549604
Lewis,2008,26403
Livingston,2008,63029
Madison,2008,69859
Monroe,2008,728695
Montgomery,2008,48560
Nassau,2008,1354833
New York,2008,1634686
Niagara,2008,214193
Oneida,2008,231868
Onondaga,2008,453316
Ontario,2008,104379
Orange,2008,381554
Orleans,2008,42138
Oswego,2008,121286
Otsego,2008,62469
Putnam,2008,99894
Queens,2008,2289695
Rensselaer,2008,155621
Richmond,2008,485719
Rockland,2008,298129
Saratoga,2008,217656
Schenectady,2008,151325
Schoharie,2008,32113
Schuyler,2008,18989
Seneca,2008,34332
Steuben,2008,96608
St Lawrence,2008,109530
Suffolk,2008,1522727
Sullivan,2008,76571
Tioga,2008,50281
Tompkins,2008,101591
Ulster,2008,182305
Warren,2008,66478
Washington,2008,62944
Wayne,2008,90960
Westchester,2008,954255
Wyoming,2008,41742
Yates,2008,24542
Albany,2007,297154
Allegany,2007,50178
Bronx,2007,1364553
Broome,2007,195161
Cattaraugus,2007,79103
Cayuga,2007,80918
Chautauqua,2007,134387
Chemung,2007,88057
Chenango,2007,51696
Clinton,2007,82260
Columbia,2007,62763
Cortland,2007,48336
Delaware,2007,45894
Dutchess,2007,296416
Erie,2007,914914
Essex,2007,37259
Franklin,2007,50805
Fulton,2007,55242
Genesee,2007,58342
Greene,2007,49912
Hamilton,2007,5117
Herkimer,2007,63007
Jefferson,2007,114354
Kings,2007,2515380
Lewis,2007,26568
Livingston,2007,63964
Madison,2007,70109
Monroe,2007,728081
Montgomery,2007,48895
Nassau,2007,1320440
New York,2007,1611158
Niagara,2007,215039
Oneida,2007,233118
Onondaga,2007,455272
Ontario,2007,104638
Orange,2007,380352
Orleans,2007,42956
Oswego,2007,122810
Otsego,2007,62542
Putnam,2007,100963
Queens,2007,2252334
Rensselaer,2007,155251
Richmond,2007,476771
Rockland,2007,295219
Saratoga,2007,216944
Schenectady,2007,150599
Schoharie,2007,32193
Schuyler,2007,19382
Seneca,2007,34827
Steuben,2007,97881
St Lawrence,2007,110894
Suffolk,2007,1472242
Sullivan,2007,76742
Tioga,2007,51076
Tompkins,2007,100687
Ulster,2007,182932
Warren,2007,66304
Washington,2007,63536
Wayne,2007,92504
Westchester,2007,950091
Wyoming,2007,42384
Yates,2007,24679
Albany,2006,298210
Allegany,2006,50737
Bronx,2006,1363555
Broome,2006,197474
Cattaraugus,2006,80814
Cayuga,2006,81672
Chautauqua,2006,136774
Chemung,2006,89752
Chenango,2006,51894
Clinton,2006,82267
Columbia,2006,63792
Cortland,2006,48752
Delaware,2006,46826
Dutchess,2006,295638
Erie,2006,933195
Essex,2006,37515
Franklin,2006,51170
Fulton,2006,55675
Genesee,2006,59301
Greene,2006,49815
Hamilton,2006,5242
Herkimer,2006,63951
Jefferson,2006,116696
Kings,2006,2490325
Lewis,2006,26642
Livingston,2006,64377
Madison,2006,70525
Monroe,2006,735330
Montgomery,2006,49099
Nassau,2006,1336706
New York,2006,1600341
Niagara,2006,217589
Oneida,2006,234732
Onondaga,2006,459279
Ontario,2006,104741
Orange,2006,373891
Orleans,2006,43503
Oswego,2006,123703
Otsego,2006,62914
Putnam,2006,100776
Queens,2006,2245375
Rensselaer,2006,155667
Richmond,2006,465405
Rockland,2006,293700
Saratoga,2006,215434
Schenectady,2006,149477
Schoharie,2006,32363
Schuyler,2006,19394
Seneca,2006,34948
Steuben,2006,98896
St Lawrence,2006,111678
Suffolk,2006,1478876
Sullivan,2006,76744
Tioga,2006,51613
Tompkins,2006,100286
Ulster,2006,183182
Warren,2006,65724
Washington,2006,63193
Wayne,2006,92018
Westchester,2006,943326
Wyoming,2006,42807
Yates,2006,24822
Albany,2005,298859
Allegany,2005,50647
Bronx,2005,1355320
Broome,2005,197979
Cattaraugus,2005,83298
Cayuga,2005,82033
Chautauqua,2005,137464
Chemung,2005,90113
Chenango,2005,51935
Clinton,2005,81992
Columbia,2005,63759
Cortland,2005,49076
Delaware,2005,47396
Dutchess,2005,293815
Erie,2005,937659
Essex,2005,38957
Franklin,2005,51082
Fulton,2005,55542
Genesee,2005,59775
Greene,2005,49265
Hamilton,2005,5234
Herkimer,2005,63949
Jefferson,2005,111627
Kings,2005,2475286
Lewis,2005,26602
Livingston,2005,64912
Madison,2005,70508
Monroe,2005,736230
Montgomery,2005,49354
Nassau,2005,1341560
New York,2005,1590675
Niagara,2005,218372
Oneida,2005,235299
Onondaga,2005,460464
Ontario,2005,103652
Orange,2005,370883
Orleans,2005,44201
Oswego,2005,123953
Otsego,2005,62608
Putnam,2005,100714
Queens,2005,2231815
Rensselaer,2005,154298
Richmond,2005,462594
Rockland,2005,294047
Saratoga,2005,213011
Schenectady,2005,148254
Schoharie,2005,32058
Schuyler,2005,19533
Seneca,2005,35125
Steuben,2005,98956
St Lawrence,2005,111465
Suffolk,2005,1477602
Sullivan,2005,76219
Tioga,2005,51609
Tompkins,2005,100278
Ulster,2005,182039
Warren,2005,65240
Washington,2005,62897
Wayne,2005,93995
Westchester,2005,943794
Wyoming,2005,43048
Yates,2005,24704
Albany,2004,298419
Allegany,2004,50659
Bronx,2004,1369123
Broome,2004,199744
Cattaraugus,2004,83515
Cayuga,2004,81883
Chautauqua,2004,137910
Chemung,2004,90587
Chenango,2004,51759
Clinton,2004,81523
Columbia,2004,63527
Cortland,2004,48785
Delaware,2004,47317
Dutchess,2004,291445
Erie,2004,943107
Essex,2004,39067
Franklin,2004,51154
Fulton,2004,55312
Genesee,2004,60136
Greene,2004,48959
Hamilton,2004,5288
Herkimer,2004,63827
Jefferson,2004,114872
Kings,2004,2479004
Lewis,2004,26687
Livingston,2004,64783
Madison,2004,70317
Monroe,2004,738157
Montgomery,2004,49466
Nassau,2004,1342044
New York,2004,1563556
Niagara,2004,218570
Oneida,2004,234825
Onondaga,2004,461404
Ontario,2004,102642
Orange,2004,363853
Orleans,2004,43713
Oswego,2004,123733
Otsego,2004,62316
Putnam,2004,99742
Queens,2004,2227863
Rensselaer,2004,154304
Richmond,2004,461775
Rockland,2004,293553
Saratoga,2004,210222
Schenectady,2004,147573
Schoharie,2004,31746
Schuyler,2004,19492
Seneca,2004,35251
Steuben,2004,99203
St Lawrence,2004,111870
Suffolk,2004,1470865
Sullivan,2004,75092
Tioga,2004,51846
Tompkins,2004,101606
Ulster,2004,181460
Warren,2004,64840
Washington,2004,61991
Wayne,2004,93909
Westchester,2004,942114
Wyoming,2004,43015
