County,Year,Population
Yates,2004,24768
Albany,2003,296677
Allegany,2003,50266
Bronx,2003,1352377
Broome,2003,200665
Cattaraugus,2003,83411
Cayuga,2003,81701
Chautauqua,2003,138567
Chemung,2003,90768
Chenango,2003,51411
Clinton,2003,81207
Columbia,2003,63640
Cortland,2003,48897
Delaware,2003,47382
Dutchess,2003,288241
Erie,2003,946656
Essex,2003,39001
Franklin,2003,51051
Fulton,2003,55143
Genesee,2003,59901
Greene,2003,48621
Hamilton,2003,5304
Herkimer,2003,63849
Jefferson,2003,108344
Kings,2003,2494204
Lewis,2003,26718
Livingston,2003,64934
Madison,2003,69908
Monroe,2003,739678
Montgomery,2003,49471
Nassau,2003,1347179
New York,2003,1546731
Niagara,2003,218470
Oneida,2003,235366
Onondaga,2003,461560
Ontario,2003,101740
Orange,2003,357380
Orleans,2003,43966
Oswego,2003,123141
Otsego,2003,62176
Putnam,2003,98424
Queens,2003,2243164
Rensselaer,2003,153560
Richmond,2003,461590
Rockland,2003,292331
Saratoga,2003,207487
Schenectady,2003,147370
Schoharie,2003,31909
Schuyler,2003,19408
Seneca,2003,35035
Steuben,2003,99482
St Lawrence,2003,111362
Suffolk,2003,1461136
Sullivan,2003,74399
Tioga,2003,51860
Tompkins,2003,99376
Ulster,2003,180292
Warren,2003,64015
Washington,2003,61299
Wayne,2003,94238
Westchester,2003,938873
Wyoming,2003,43238
Yates,2003,24565
Albany,2002,297376
Allegany,2002,50404
Bronx,2002,1325890
Broome,2002,202449
Cattaraugus,2002,84756
Cayuga,2002,82745
Chautauqua,2002,141084
Chemung,2002,91939
Chenango,2002,51891
Clinton,2002,80656
Columbia,2002,63696
Cortland,2002,49062
Delaware,2002,48513
Dutchess,2002,282823
Erie,2002,959333
Essex,2002,39222
Franklin,2002,51622
Fulton,2002,55598
Genesee,2002,60946
Greene,2002,48655
Hamilton,2002,5431
Herkimer,2002,65041
Jefferson,2002,112804
Kings,2002,2538594
Lewis,2002,27201
Livingston,2002,64942
Madison,2002,70104
Monroe,2002,742360
Montgomery,2002,50183
Nassau,2002,1347279
New York,2002,1641192
Niagara,2002,221944
Oneida,2002,237716
Onondaga,2002,462710
Ontario,2002,101181
Orange,2002,344624
Orleans,2002,44592
Oswego,2002,123545
Otsego,2002,62265
Putnam,2002,96658
Queens,2002,2158613
Rensselaer,2002,153993
Richmond,2002,420404
Rockland,2002,289489
Saratoga,2002,202550
Schenectady,2002,147953
Schoharie,2002,31884
Schuyler,2002,19407
Seneca,2002,33661
Steuben,2002,99668
St Lawrence,2002,112999
Suffolk,2002,1432913
Sullivan,2002,74672
Tioga,2002,52278
Tompkins,2002,97422
Ulster,2002,179445
Warren,2002,63907
Washington,2002,61624
Wayne,2002,94660
Westchester,2002,932270
Wyoming,2002,43838
Yates,2002,24856
Albany,2001,295107
Allegany,2001,50019
Bronx,2001,1315775
Broome,2001,200905
Cattaraugus,2001,84109
Cayuga,2001,82114
Chautauqua,2001,140007
Chemung,2001,91238
Chenango,2001,51496
Clinton,2001,80041
Columbia,2001,63210
Cortland,2001,48688
Delaware,2001,48143
Dutchess,2001,280666
Erie,2001,952014
Essex,2001,38922
Franklin,2001,51228
Fulton,2001,55174
Genesee,2001,60481
Greene,2001,48284
Hamilton,2001,5389
Herkimer,2001,64546
Jefferson,2001,111944
Kings,2001,2519228
Lewis,2001,26994
Livingston,2001,64446
Madison,2001,69569
Monroe,2001,736696
Montgomery,2001,49799
Nassau,2001,1337000
New York,2001,1628673
Niagara,2001,220251
Oneida,2001,235902
Onondaga,2001,459179
Ontario,2001,100408
Orange,2001,341995
Orleans,2001,44252
Oswego,2001,122602
Otsego,2001,61789
Putnam,2001,95921
Queens,2001,2142146
Rensselaer,2001,152819
Richmond,2001,417196
Rockland,2001,287281
Saratoga,2001,201004
Schenectady,2001,146825
Schoharie,2001,31640
Schuyler,2001,19259
Seneca,2001,33403
Steuben,2001,98908
St. Lawrence,2001,112137
Suffolk,2001,1421981
Sullivan,2001,74102
Tioga,2001,51879
Tompkins,2001,96679
Ulster,2001,178076
Warren,2001,63419
Washington,2001,61154
Wayne,2001,93938
Westchester,2001,925158
Wyoming,2001,43504
Yates,2001,24666
Albany,2000,304521
Allegany,2000,52720
Bronx,2000,1270428
Broome,2000,203614
Cattaraugus,2000,88097
Cayuga,2000,85205
Chautauqua,2000,143321
Chemung,2000,95670
Chenango,2000,52877
Clinton,2000,83139
Columbia,2000,65702
Cortland,2000,50063
Delaware,2000,48349
Dutchess,2000,279733
Erie,2000,965641
Essex,2000,39114
Franklin,2000,50590
Fulton,2000,55116
Genesee,2000,63061
Greene,2000,50420
Hamilton,2000,5412
Herkimer,2000,66069
Jefferson,2000,114631
Kings,2000,2432404
Lewis,2000,28459
Livingston,2000,68673
Madison,2000,74175
Monroe,2000,742951
Montgomery,2000,52528
Nassau,2000,1360988
New York,2000,1572542
Niagara,2000,225428
Oneida,2000,239559
Onondaga,2000,475767
Ontario,2000,104068
Orange,2000,348522
Orleans,2000,46952
Oswego,2000,129184
Otsego,2000,63217
Putnam,2000,98909
Queens,2000,2068318
Rensselaer,2000,157936
Richmond,2000,402819
Rockland,2000,296194
Saratoga,2000,208293
Schenectady,2000,150037
Schoharie,2000,33424
Schuyler,2000,20053
Seneca,2000,33293
Steuben,2000,101886
St. Lawrence,2000,117690
Suffolk,2000,1443155
Sullivan,2000,72302
Tioga,2000,54454
Tompkins,2000,101841
Ulster,2000,174463
Warren,2000,64074
Washington,2000,62718
Wayne,2000,99615
Westchester,2000,944382
Wyoming,2000,46083
Yates,2000,25608
Albany,1999,292929
Allegany,1999,51057
Bronx,1999,1218399
Broome,1999,196775
Cattaraugus,1999,85186
Cayuga,1999,81359
Chautauqua,1999,138265
Chemung,1999,92129
Chenango,1999,51112
Clinton,1999,80064
Columbia,1999,63295
Cortland,1999,48089
Delaware,1999,46140
Dutchess,1999,265628
Erie,1999,935566
Essex,1999,37592
Franklin,1999,48639
Fulton,1999,52976
Genesee,1999,60725
Greene,1999,47863
Hamilton,1999,5199
Herkimer,1999,64124
Jefferson,1999,111180
Kings,1999,2332789
Lewis,1999,27526
Livingston,1999,66077
Madison,1999,71152
Monroe,1999,716911
Montgomery,1999,50814
Nassau,1999,1303746
New York,1999,1508140
Niagara,1999,218326
Oneida,1999,230898
Onondaga,1999,458838
Ontario,1999,99779
Orange,1999,329606
Orleans,1999,44570
Oswego,1999,124151
Otsego,1999,60859
Putnam,1999,93467
Queens,1999,1983613
Rensselaer,1999,152868
Richmond,1999,386322
Rockland,1999,281668
Saratoga,1999,197838
Schenectady,1999,145701
Schoharie,1999,32476
Schuyler,1999,19147
Seneca,1999,31980
Steuben,1999,98065
St. Lawrence,1999,113821
Suffolk,1999,1372876
Sullivan,1999,69192
Tioga,1999,52538
Tompkins,1999,96133
Ulster,1999,166546
Warren,1999,61333
Washington,1999,60552
Wayne,1999,95088
Westchester,1999,898972
Wyoming,1999,44101
Yates,1999,24230
Albany,1998,294930
Allegany,1998,51741
Bronx,1998,1206670
Broome,1998,199151
Cattaraugus,1998,85426
Cayuga,1998,82487
Chautauqua,1998,140309
Chemung,1998,93283
Chenango,1998,52468
Clinton,1998,80828
Columbia,1998,64217
Cortland,1998,48947
Delaware,1998,46653
Dutchess,1998,265243
Erie,1998,946455
Essex,1998,38449
Franklin,1998,49032
Fulton,1998,53399
Genesee,1998,61938
Greene,1998,47953
Hamilton,1998,5224
Herkimer,1998,65829
Jefferson,1998,113369
Kings,1998,2310331
Lewis,1998,28258
Livingston,1998,66631
Madison,1998,71802
Monroe,1998,719287
Montgomery,1998,51561
Nassau,1998,1306423
New York,1998,1493622
Niagara,1998,220711
Oneida,1998,233677
Onondaga,1998,462459
Ontario,1998,100186
Orange,1998,327847
Orleans,1998,44828
Oswego,1998,125578
Otsego,1998,61609
Putnam,1998,92576
Queens,1998,1964518
Rensselaer,1998,154688
Richmond,1998,382604
Rockland,1998,280448
Saratoga,1998,196997
Schenectady,1998,147533
Schoharie,1998,32551
Schuyler,1998,19202
Seneca,1998,32888
Steuben,1998,99265
St. Lawrence,1998,114420
Suffolk,1998,1365477
Sullivan,1998,70503
Tioga,1998,53075
Tompkins,1998,96849
Ulster,1998,167283
Warren,1998,62023
Washington,1998,60816
Wayne,1998,95493
Westchester,1998,898102
Wyoming,1998,44690
Yates,1998,24188
Albany,1997,290760
Allegany,1997,51151
Bronx,1997,1200558
Broome,1997,208158
Cattaraugus,1997,85411
Cayuga,1997,82961
Chautauqua,1997,141908
Chemung,1997,94352
Chenango,1997,52239
Clinton,1997,86819
Columbia,1997,63282
Cortland,1997,49278
Delaware,1997,47642
Dutchess,1997,260996
Erie,1997,965877
Essex,1997,37875
Franklin,1997,49028
Fulton,1997,54330
Genesee,1997,61177
Greene,1997,47236
Hamilton,1997,5227
Herkimer,1997,66686
Jefferson,1997,114672
Kings,1997,2298630
Lewis,1997,27558
Livingston,1997,64846
Madison,1997,71575
Monroe,1997,725650
Montgomery,1997,51998
Nassau,1997,1298842
New York,1997,1486057
Niagara,1997,221217
Oneida,1997,249079
Onondaga,1997,472474
Ontario,1997,98592
Orange,1997,319898
Orleans,1997,45530
Oswego,1997,125533
Otsego,1997,61474
Putnam,1997,89052
Queens,1997,1954567
Rensselaer,1997,156057
Richmond,1997,380665
Rockland,1997,274363
Saratoga,1997,192531
Schenectady,1997,149311
Schoharie,1997,32973
Schuyler,1997,18977
Seneca,1997,32573
Steuben,1997,100424
St. Lawrence,1997,115274
Suffolk,1997,1345293
Sullivan,1997,70502
Tioga,1997,53325
Tompkins,1997,96127
Ulster,1997,168558
Warren,1997,61224
Washington,1997,60670
Wayne,1997,92812
Westchester,1997,887311
Wyoming,1997,43969
Yates,1997,23866
Albany,1996,291536
Allegany,1996,51291
Bronx,1996,1203693
Broome,1996,208713
Cattaraugus,1996,85642
Cayuga,1996,83182
Chautauqua,1996,142287
Chemung,1996,94605
Chenango,1996,52382
Clinton,1996,87051
Columbia,1996,63454
Cortland,1996,49410
Delaware,1996,47772
Dutchess,1996,261693
Erie,1996,968442
Essex,1996,37978
Franklin,1996,49161
Fulton,1996,54478
Genesee,1996,61341
Greene,1996,47365
Hamilton,1996,5241
Herkimer,1996,66869
Jefferson,1996,114980
Kings,1996,2304633
Lewis,1996,27632
Livingston,1996,65021
Madison,1996,71768
Monroe,1996,727575
Montgomery,1996,52138
Nassau,1996,1302292
New York,1996,1489938
Niagara,1996,221806
Oneida,1996,249746
Onondaga,1996,473732
Ontario,1996,98857
Orange,1996,320759
Orleans,1996,45653
Oswego,1996,125869
Otsego,1996,61638
Putnam,1996,89290
Queens,1996,1959672
Rensselaer,1996,156474
Richmond,1996,381658
Rockland,1996,275095
Saratoga,1996,193045
Schenectady,1996,149708
Schoharie,1996,33062
Schuyler,1996,19028
Seneca,1996,32661
Steuben,1996,100697
St. Lawrence,1996,115583
Suffolk,1996,1348867
Sullivan,1996,70692
Tioga,1996,53468
Tompkins,1996,96386
Ulster,1996,169009
Warren,1996,61387
Washington,1996,60834
Wayne,1996,93063
Westchester,1996,889681
Wyoming,1996,44087
Yates,1996,23930
Albany,1995,290756
Allegany,1995,51158
Bronx,1995,1200406
Broome,1995,208154
Cattaraugus,1995,85416
Cayuga,1995,82961
Chautauqua,1995,141908
Chemung,1995,94353
Chenango,1995,52245
Clinton,1995,86818
Columbia,1995,63286
Cortland,1995,49280
Delaware,1995,47647
Dutchess,1995,260997
Erie,1995,965846
Essex,1995,37878
Franklin,1995,49030
Fulton,1995,54334
Genesee,1995,61178
Greene,1995,47242
Hamilton,1995,5228
Herkimer,1995,66693
Jefferson,1995,114677
Kings,1995,2298337
Lewis,1995,27559
Livingston,1995,64849
Madison,1995,71578
Monroe,1995,725620
Montgomery,1995,51999
Nassau,1995,1298798
New York,1995,1485868
Niagara,1995,221211
Oneida,1995,249082
Onondaga,1995,472465
Ontario,1995,98595
Orange,1995,319910
Orleans,1995,45533
Oswego,1995,125534
Otsego,1995,61473
Putnam,1995,89053
Queens,1995,1954319
Rensselaer,1995,156057
Richmond,1995,380616
Rockland,1995,274361
Saratoga,1995,192530
Schenectady,1995,149307
Schoharie,1995,32975
Schuyler,1995,18977
Seneca,1995,32576
Steuben,1995,100432
St. Lawrence,1995,115276
Suffolk,1995,1345242
Sullivan,1995,70504
Tioga,1995,53326
Tompkins,1995,96130
Ulster,1995,168560
Warren,1995,61223
Washington,1995,60674
Wayne,1995,92816
Westchester,1995,887306
Wyoming,1995,43971
Yates,1995,23867
Albany,1994,293843
Allegany,1994,51575
Bronx,1994,1203141
Broome,1994,213168
Cattaraugus,1994,85932
Cayuga,1994,94356
Chautauqua,1994,142115
Chemung,1994,95512
Chenango,1994,52369
Clinton,1994,86314
Columbia,1994,63206
Cortland,1994,49608
Delaware,1994,47664
Dutchess,1994,263713
Erie,1994,975490
Essex,1994,37646
Franklin,1994,48122
Fulton,1994,54154
Genesee,1994,61036
Greene,1994,46535
Hamilton,1994,5395
Herkimer,1994,66376
Jefferson,1994,114027
Kings,1994,2303574
Lewis,1994,27521
Livingston,1994,63555
Madison,1994,71287
Monroe,1994,726806
Montgomery,1994,52232
Nassau,1994,1306358
New York,1994,1489253
Niagara,1994,222338
Oneida,1994,253006
Onondaga,1994,475358
Ontario,1994,97905
Orange,1994,316769
Orleans,1994,43876
Oswego,1994,125283
Otsego,1994,61185
Putnam,1994,87473
Queens,1994,1958772
Rensselaer,1994,156853
Richmond,1994,381484
Rockland,1994,271737
Saratoga,1994,189002
Schenectady,1994,150601
Schoharie,1994,32605
Schuyler,1994,18958
Seneca,1994,33645
Steuben,1994,100455
St. Lawrence,1994,114189
Suffolk,1994,1342613
Sullivan,1994,70932
Tioga,1994,53551
Tompkins,1994,95651
Ulster,1994,169736
Warren,1994,60682
Washington,1994,60651
Wayne,1994,91607
Westchester,1994,884719
Wyoming,1994,43629
Yates,1994,23302
Albany,1993,294302
Allegany,1993,51659
Bronx,1993,1204950
Broome,1993,213500
Cattaraugus,1993,86069
Cayuga,1993,83056
Chautauqua,1993,142339
Chemung,1993,95663
Chenango,1993,52454
Clinton,1993,86450
Columbia,1993,63307
Cortland,1993,49686
Delaware,1993,47743
Dutchess,1993,264128
Erie,1993,977004
Essex,1993,37707
Franklin,1993,48199
Fulton,1993,54241
Genesee,1993,61132
Greene,1993,46611
Hamilton,1993,5404
Herkimer,1993,66483
Jefferson,1993,114208
Kings,1993,2307039
Lewis,1993,27565
Livingston,1993,63655
Madison,1993,71400
Monroe,1993,727933
Montgomery,1993,52315
Nassau,1993,1308384
New York,1993,1491493
Niagara,1993,222685
Oneida,1993,253403
Onondaga,1993,476098
Ontario,1993,98060
Orange,1993,317272
Orleans,1993,43946
Oswego,1993,125480
Otsego,1993,61281
Putnam,1993,87611
Queens,1993,1961718
Rensselaer,1993,157098
Richmond,1993,382057
Rockland,1993,272163
Saratoga,1993,189298
Schenectady,1993,150837
Schoharie,1993,32656
Schuyler,1993,18988
Seneca,1993,33701
Steuben,1993,100617
St. Lawrence,1993,114369
Suffolk,1993,1344696
Sullivan,1993,71045
Tioga,1993,53635
Tompkins,1993,95802
Ulster,1993,170006
Warren,1993,60776
Washington,1993,60747
Wayne,1993,91752
Westchester,1993,886086
Wyoming,1993,43699
Yates,1993,23339
Albany,1992,295018
Allegany,1992,50820
Bronx,1992,1209516
Broome,1992,213668
Cattaraugus,1992,84825
Cayuga,1992,82897
Chautauqua,1992,142900
Chemung,1992,95869
Chenango,1992,52128
Clinton,1992,86579
Columbia,1992,63424
Cortland,1992,49310
Delaware,1992,47555
Dutchess,1992,261299
Erie,1992,975430
Essex,1992,37411
Franklin,1992,46868
Fulton,1992,54572
Genesee,1992,60484
Greene,1992,45050
Hamilton,1992,5315
Herkimer,1992,66259
Jefferson,1992,111723
Kings,1992,2315780
Lewis,1992,26985
Livingston,1992,62808
Madison,1992,69605
Monroe,1992,719054
Montgomery,1992,52347
Nassau,1992,1296521
New York,1992,1497145
Niagara,1992,222326
Oneida,1992,252609
Onondaga,1992,472306
Ontario,1992,95773
Orange,1992,309812
Orleans,1992,42140
Oswego,1992,122633
Otsego,1992,60947
Putnam,1992,84535
Queens,1992,1969950
Rensselaer,1992,155523
Richmond,1992,382706
Rockland,1992,267362
Saratoga,1992,182561
Schenectady,1992,150345
Schoharie,1992,32082
Schuyler,1992,18793
Seneca,1992,33920
Steuben,1992,99783
St. Lawrence,1992,112764
Suffolk,1992,1331288
Sullivan,1992,69765
Tioga,1992,52708
Tompkins,1992,94762
Ulster,1992,166468
Warren,1992,59628
Washington,1992,59745
Wayne,1992,89754
Westchester,1992,881073
Wyoming,1992,42804
Yates,1992,22970
Albany,1991,294030
Allegany,1991,50654
Bronx,1991,1205404
Broome,1991,212952
Cattaraugus,1991,84545
Cayuga,1991,82620
Chautauqua,1991,142423
Chemung,1991,95549
Chenango,1991,51957
Clinton,1991,86288
Columbia,1991,63215
Cortland,1991,49146
Delaware,1991,47398
Dutchess,1991,260427
Erie,1991,972153
Essex,1991,37288
Franklin,1991,46713
Fulton,1991,54391
Genesee,1991,60283
Greene,1991,44903
Hamilton,1991,5298
Herkimer,1991,66040
Jefferson,1991,111353
Kings,1991,2307907
Lewis,1991,26895
Livingston,1991,62601
Madison,1991,69375
Monroe,1991,716639
Montgomery,1991,52173
Nassau,1991,1292164
New York,1991,1492055
Niagara,1991,221581
Oneida,1991,251768
Onondaga,1991,470722
Ontario,1991,95454
Orange,1991,308786
Orleans,1991,42001
Oswego,1991,122224
Otsego,1991,60743
Putnam,1991,84254
Queens,1991,1962456
Rensselaer,1991,155003
Richmond,1991,382201
Rockland,1991,266466
Saratoga,1991,181951
Schenectady,1991,149842
Schoharie,1991,31976
Schuyler,1991,18731
Seneca,1991,33807
Steuben,1991,99454
St. Lawrence,1991,112389
Suffolk,1991,1326812
Sullivan,1991,69532
Tioga,1991,52531
Tompkins,1991,94446
Ulster,1991,165915
Warren,1991,59429
Washington,1991,59548
Wayne,1991,89454
Westchester,1991,878128
Wyoming,1991,42663
Yates,1991,22894
Albany,1990,292594
Allegany,1990,50470
Bronx,1990,1200900
Broome,1990,212160
Cattaraugus,1990,84234
Cayuga,1990,82313
Chautauqua,1990,141895
Chemung,1990,95195
Chenango,1990,51768
Clinton,1990,85969
Columbia,1990,62982
Cortland,1990,48963
Delaware,1990,47225
Dutchess,1990,259462
Erie,1990,968532
Essex,1990,37152
Franklin,1990,46540
Fulton,1990,54191
Genesee,1990,60060
Greene,1990,44739
Hamilton,1990,5279
Herkimer,1990,65797
Jefferson,1990,110943
Kings,1990,2299285
Lewis,1990,26796
Livingston,1990,62372
Madison,1990,69120
Monroe,1990,713968
Montgomery,1990,51981
Nassau,1990,1287348
New York,1990,1486480
Niagara,1990,220756
Oneida,1990,250836
Onondaga,1990,468973
Ontario,1990,95101
Orange,1990,307647
Orleans,1990,41846
Oswego,1990,121771
Otsego,1990,60517
Putnam,1990,83941
Queens,1990,1955125
Rensselaer,1990,154429
Richmond,1990,380774
Rockland,1990,265475
Saratoga,1990,181276
Schenectady,1990,149285
Schoharie,1990,31859
Schuyler,1990,18662
Seneca,1990,33683
Steuben,1990,99088
St. Lawrence,1990,111974
Suffolk,1990,1321864
Sullivan,1990,69277
Tioga,1990,52337
Tompkins,1990,94097
Ulster,1990,165304
Warren,1990,59209
Washington,1990,59330
Wayne,1990,89123
Westchester,1990,874866
Wyoming,1990,42507
Yates,1990,22810
